compound_id,smiles,mol,score,Max_Tc_Train
ZINC_250K_8499,OCC#Cc1ccc(Br)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67EECE0>,0.34063062,0.18181818181818182
ZINC_250K_10241,N[C@H](c1ccc([S-])cc1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000001E1E68A4820>,0.34062928,0.12698412698412698
ZINC_250K_9299,C1=CC[C@H](C[NH+]2CC[C@@H](C[NH+]3CCCC3)C2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6837760>,0.3406282,0.1
ZINC_250K_3107,C[C@H]([NH3+])[C@H]1CCCC(C)(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5786420>,0.34062773,0.14754098360655737
ZINC_250K_5118,CC[C@@H](C)N1C(=O)C=CC1=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5847A70>,0.340626,0.13725490196078433
ZINC_250K_3431,CC(C)C[NH+](C)CCC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001E1E57A8270>,0.34062454,0.11666666666666667
ZINC_250K_1769,C[C@H]1CO[C@H]([C@]2(C)OC[C@H](C)O2)O1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5702340>,0.34062353,0.10256410256410256
ZINC_250K_7051,CS(=O)(=O)CCSCCCS,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6766730>,0.340623,0.10714285714285714
ZINC_250K_7161,CCC[C@@H](C)[C@H](O)[C@H](C#N)CC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E676DE00>,0.34062198,0.125
ZINC_250K_10077,CO[C@@H]1CCC[C@@H]([NH2+]C2C(C)(C)C2(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6887920>,0.3406219,0.18072289156626506
ZINC_250K_4636,O=C=NC(c1ccccc1)(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5818F90>,0.3406212,0.1891891891891892
ZINC_250K_9073,C=CC[n+]1cccc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x000001E1E682C820>,0.34062004,0.1951219512195122
ZINC_250K_9290,[NH3+]C[C@@H](c1ccccc1)[NH+]1CCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6837370>,0.34062,0.17142857142857143
ZINC_250K_6539,CC(C)(C)[C@]1(C(F)(F)C(F)(F)F)CCC[NH2+]1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58D3290>,0.34061956,0.1111111111111111
ZINC_250K_8001,C=CC(=O)N[C@@H](OC)C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BF4C0>,0.34061894,0.125
ZINC_250K_3630,CCC[NH+](CCC)[C@@H]1CCC[C@H]([NH2+]C)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57B63B0>,0.34061828,0.1076923076923077
ZINC_250K_3554,C=CC(=O)OCC(C)(C)C[NH+](C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57ABDF0>,0.34061778,0.125
ZINC_250K_6953,C[C@@H]([NH2+]C1C(C)(C)C1(C)C)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67577D0>,0.34061772,0.140625
ZINC_250K_9840,C[C@H](C(=O)[O-])[C@@H](C)[NH+](C)CCC[NH+](C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6874660>,0.34061772,0.13333333333333333
ZINC_250K_2281,CCC(CC)C(=O)[C@H](C)OC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5731540>,0.340616,0.14705882352941177
ZINC_250K_1243,CNC(=S)NNc1ccc(Br)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E978E490>,0.34061512,0.18461538461538463
ZINC_250K_5563,C=C(C)[C@H]([NH3+])c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58717E0>,0.3406139,0.14754098360655737
ZINC_250K_5318,Cc1c[n+]([O-])cc(C[n+]2ccccc2)[n+]1[O-],<rdkit.Chem.rdchem.Mol object at 0x000001E1E585DE70>,0.3406137,0.15873015873015872
ZINC_250K_9440,SCC1(C[NH+]2CCCSCC2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E684BD80>,0.34061363,0.08823529411764706
ZINC_250K_1645,CCC1CCC(C[NH2+][C@@H]2CCC[C@H]2[C@@H]2CCCC[NH2+]2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E56F28F0>,0.34061313,0.14285714285714285
ZINC_250K_2540,CC(C)[C@@H](C)NC(=O)CSCC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x000001E1E574D310>,0.34061292,0.13432835820895522
ZINC_250K_6034,CC(C)CNC(=O)C[NH2+]C1C(C)(C)C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E589BD80>,0.34061238,0.14925373134328357
ZINC_250K_7656,CC[C@](C)([C@H](O)C(C)(C)C)[NH+]1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67A0DD0>,0.34061185,0.1111111111111111
ZINC_250K_9519,O[C@H](c1ccccc1)c1cscc1Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6852570>,0.34061113,0.16363636363636364
ZINC_250K_1630,CC[NH+](CC)C[C@H]1CC[NH2+]C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E56F2180>,0.34061056,0.13333333333333333
ZINC_250K_7918,CSc1ccc(/C=C(\C)[N+](=O)[O-])cc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BCC80>,0.3406104,0.15
ZINC_250K_3099,CCCC12C[C@@H]3C[C@@H](CC([NH3+])(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57860A0>,0.34061036,0.15584415584415584
ZINC_250K_9697,CCC[C@@H](C)N1CCC[NH2+]CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6863E60>,0.34060997,0.1125
ZINC_250K_9922,Nc1noc(-c2ccoc2)c1Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6876D50>,0.34060913,0.16071428571428573
ZINC_250K_2086,C[C@@H](C(=O)[O-])[C@@H](N[S@](=O)C(C)(C)C)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E571BA00>,0.34060895,0.11827956989247312
ZINC_250K_210,CCC(CC)[S@](=O)CCC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001E1E9727060>,0.34060806,0.12162162162162163
ZINC_250K_1798,CN(C)C(=S)N(C(=S)N(C)C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57031B0>,0.340608,0.18421052631578946
ZINC_250K_8841,CC(C)(O)CC[NH2+]CC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001E1E68155B0>,0.34060755,0.13846153846153847
ZINC_250K_8546,C[C@@H]1C[NH+]([C@@H](C)/C(N)=N/O)C[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67F8510>,0.3406069,0.109375
ZINC_250K_1920,CCC(CC)([C@H](O)COC(C)C)[NH+](C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E570EB90>,0.34060687,0.14285714285714285
ZINC_250K_8688,CCC1(C[NH2+]CC2(CC(C)C)CCCC2)CC[NH2+]CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6808A50>,0.34060666,0.0963855421686747
ZINC_250K_4794,[NH3+]CC(=O)c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5829C40>,0.34060663,0.19642857142857142
ZINC_250K_10053,C[NH+]1CCN(C(=O)Cl)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6886DC0>,0.34060648,0.16981132075471697
ZINC_250K_9837,O=C([O-])CC1(C(=O)[O-])CCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6874510>,0.34060627,0.16393442622950818
ZINC_250K_7972,CCC(C(=O)OC(C)(C)C)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BE570>,0.34060594,0.1694915254237288
ZINC_250K_2352,CC[C@H](C)[C@@H]1CCCC[C@H]([NH2+]C)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57338B0>,0.34060577,0.13157894736842105
ZINC_250K_2011,C[NH2+]C[C@H](C)[C@H](C)n1cccn1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5719770>,0.34060535,0.16666666666666666
ZINC_250K_3421,C[N+]1(/N=C(\[S-])NN)CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E579FD80>,0.34060523,0.12698412698412698
ZINC_250K_2979,CSCCc1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E577A880>,0.34060436,0.20634920634920634
ZINC_250K_7077,CC[C@H](C[NH2+]C)Cc1nc(C)cs1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6767450>,0.34060353,0.15714285714285714
ZINC_250K_5792,NC(=S)c1n[nH]cc1Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E588C5F0>,0.34060332,0.12121212121212122
ZINC_250K_2458,NC(=O)c1ccc([N+](=O)[O-])s1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5742A40>,0.3406023,0.171875
ZINC_250K_5183,CC1(C)C(C[NH2+][C@@H]2CCC[C@@H]2[C@@H]2CCCC[NH2+]2)C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E584DAF0>,0.3406021,0.1095890410958904
ZINC_250K_7668,C=CCn1c(=O)n(CC=C)c(=O)n(CCN2C(=O)C=CC2=O)c1=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67A13F0>,0.340602,0.13793103448275862
ZINC_250K_6333,O=C(C1CCCC1)N1CCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58BD000>,0.3406018,0.20689655172413793
ZINC_250K_7980,O=[N+]([O-])c1[nH]c(Br)nc1I,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BEA40>,0.34060135,0.10526315789473684
ZINC_250K_6463,CC1CCN(/C(N)=[NH+]/C2CC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58D0DD0>,0.34060052,0.18571428571428572
ZINC_250K_3483,CC1(C)CCCC[C@H]1[NH+]1CCCC[C@@H]1CC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x000001E1E57A9B60>,0.34060022,0.11267605633802817
ZINC_250K_6190,C[NH+](C)CCCC[NH2+][C@@H]1CC(C)(C)OC1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58B09E0>,0.3406,0.10843373493975904
ZINC_250K_4331,NC1=c2cc(Br)ccc2=[NH+]C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57F7A00>,0.34059995,0.1323529411764706
ZINC_250K_1178,C[C@H]1CC(N)=C(C#N)C1(C#N)C#N,<rdkit.Chem.rdchem.Mol object at 0x000001E1E978C580>,0.34059992,0.14035087719298245
ZINC_250K_9562,Cc1cscc1[C@H]([NH3+])c1cc(F)cc(F)c1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6853A00>,0.34059986,0.13793103448275862
ZINC_250K_4822,CSCC[NH2+]Cc1nc(C)c(C)s1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E582A8F0>,0.34059948,0.12
ZINC_250K_1346,COC[C@H](C)Cc1nnc(C[NH3+])o1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E97998C0>,0.3405988,0.13636363636363635
ZINC_250K_878,CC(C)CNC(=O)[C@](C)(N)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000001E1E9767060>,0.34059876,0.17391304347826086
ZINC_250K_8949,CC1(C)CCC(O)(C[NH2+][C@@H]2CSCCC2(C)C)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E681CA50>,0.34059858,0.12048192771084337
ZINC_250K_1813,COC[C@](C)(O)C1(C#N)CCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5703920>,0.34059837,0.1694915254237288
ZINC_250K_9854,CCC1CCC(C[NH3+])([NH+](C)[C@@H](C)CC)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6874CF0>,0.34059787,0.15625
ZINC_250K_3771,CCN(CC(N)=S)C(=O)OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57C6880>,0.34059766,0.15384615384615385
ZINC_250K_1252,CCN(CC)c1ccc(N)c(N)[nH+]1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E978E8F0>,0.34059748,0.11864406779661017
