source,row_index,raw_smiles,stage,id_col
MGDB,3752,,empty_smiles,nan
MGDB,3770,,empty_smiles,nan
MGDB,3771,,empty_smiles,nan
MGDB,3774,,empty_smiles,nan
MGDB,3775,,empty_smiles,nan
MGDB,3776,,empty_smiles,nan
MGDB,3777,,empty_smiles,nan
MGDB,3780,,empty_smiles,nan
MGDB,3781,,empty_smiles,nan
MGDB,3788,,empty_smiles,nan
MGDB,3789,,empty_smiles,nan
MGDB,3791,,empty_smiles,nan
MGDB,3792,,empty_smiles,nan
MGDB,3797,,empty_smiles,nan
MGDB,3798,,empty_smiles,nan
MGDB,3799,,empty_smiles,nan
MGDB,3800,,empty_smiles,nan
MGDB,3801,,empty_smiles,nan
MGDB,3802,,empty_smiles,nan
MGDB,3803,,empty_smiles,nan
MGDB,3804,,empty_smiles,nan
MGDB,3805,,empty_smiles,nan
MGDB,3806,,empty_smiles,nan
MGDB,3807,,empty_smiles,nan
MGDB,3808,,empty_smiles,nan
MGDB,3809,,empty_smiles,nan
MGDB,3810,,empty_smiles,nan
MGDB,3813,,empty_smiles,nan
MGDB,3814,,empty_smiles,nan
MGDB,3821,,empty_smiles,nan
MGDB,3822,,empty_smiles,nan
MGDB,3825,,empty_smiles,nan
MGDB,3826,,empty_smiles,nan
MGDB,3837,,empty_smiles,nan
MGDB,3838,,empty_smiles,nan
MGDB,3844,,empty_smiles,nan
MGDB,3845,,empty_smiles,nan
MGDB,3846,,empty_smiles,nan
MGDB,3849,,empty_smiles,nan
MGDB,3850,,empty_smiles,nan
MGDB,3851,,empty_smiles,nan
MGDB,3852,,empty_smiles,nan
MGDB,3853,,empty_smiles,nan
MGDB,3854,,empty_smiles,nan
MGDB,3855,,empty_smiles,nan
MGDB,3856,,empty_smiles,nan
MGDB,3857,,empty_smiles,nan
MGDB,3858,,empty_smiles,nan
MGDB,3860,,empty_smiles,nan
MGDB,3861,,empty_smiles,nan
MGDB,3864,,empty_smiles,nan
MGDB,3865,,empty_smiles,nan
MGDB,3866,,empty_smiles,nan
MGDB,3868,,empty_smiles,nan
MGDB,3869,,empty_smiles,nan
MGDB,3870,,empty_smiles,nan
MGDB,3871,,empty_smiles,nan
MGDB,5346,,empty_smiles,nan
MGDB,5362,,empty_smiles,nan
MGDB,5635,,empty_smiles,nan
MGDB,6030,,empty_smiles,nan
MGDB,6082,,empty_smiles,nan
MGDB,6135,,empty_smiles,nan
MGDB,6254,,empty_smiles,nan
MGDB,6790,,empty_smiles,nan
MGDB,6791,,empty_smiles,nan
MGDB,6792,,empty_smiles,nan
MGDB,6793,,empty_smiles,nan
MGDB,6794,,empty_smiles,nan
MGDB,6795,,empty_smiles,nan
MGDB,6796,,empty_smiles,nan
MGDB,6797,,empty_smiles,nan
MGDB,6798,,empty_smiles,nan
MGDB,6799,,empty_smiles,nan
MGDB,6800,,empty_smiles,nan
MGDB,6801,,empty_smiles,nan
MGDB,6802,,empty_smiles,nan
MGDB,6803,,empty_smiles,nan
MGDB,6804,,empty_smiles,nan
MGDB,6805,,empty_smiles,nan
MGDB,6806,,empty_smiles,nan
MGDB,7297,,empty_smiles,nan
MGDB,7298,,empty_smiles,nan
MGDB,7299,,empty_smiles,nan
MGDB,7300,,empty_smiles,nan
MGDB,7310,,empty_smiles,nan
MGDB,7311,,empty_smiles,nan
MGDB,7312,,empty_smiles,nan
MGDB,7313,,empty_smiles,nan
MGDB,7314,,empty_smiles,nan
MGDB,7315,,empty_smiles,nan
MGDB,7618,,empty_smiles,nan
MGDB,7882,,empty_smiles,nan
MGDB,7885,,empty_smiles,nan
MGDB,7909,,empty_smiles,nan
MGDB,7927,,empty_smiles,nan
MGDB,7967,,empty_smiles,nan
MGDB,7986,,empty_smiles,nan
MGDB,8196,,empty_smiles,nan
MGDB,8197,,empty_smiles,nan
MGDB,8198,,empty_smiles,nan
MGDB,8209,,empty_smiles,nan
MGDB,8244,,empty_smiles,nan
MGDB,8247,,empty_smiles,nan
MGDB,8271,,empty_smiles,nan
MGDB,8289,,empty_smiles,nan
MGDB,8329,,empty_smiles,nan
MGDB,8348,,empty_smiles,nan
MGDB,8558,,empty_smiles,nan
MGDB,8559,,empty_smiles,nan
MGDB,8560,,empty_smiles,nan
MGDB,8571,,empty_smiles,nan
MGDB,8606,,empty_smiles,nan
MGDB,8609,,empty_smiles,nan
MGDB,8633,,empty_smiles,nan
MGDB,8651,,empty_smiles,nan
MGDB,8691,,empty_smiles,nan
MGDB,8710,,empty_smiles,nan
MGDB,8920,,empty_smiles,nan
MGDB,8921,,empty_smiles,nan
MGDB,8922,,empty_smiles,nan
MGDB,8933,,empty_smiles,nan
MGDB,8989,,empty_smiles,nan
MGDB,9169,,empty_smiles,nan
MGDB,9223,,empty_smiles,nan
MGDB,9397,,empty_smiles,nan
MGDB,9451,,empty_smiles,nan
MGDB,9625,,empty_smiles,nan
MGDB,9679,,empty_smiles,nan
MGDB,9853,,empty_smiles,nan
MGDB,9907,,empty_smiles,nan
MGDB,10081,,empty_smiles,nan
MGDB,10135,,empty_smiles,nan
MGDB,10202,,empty_smiles,nan
MGDB,10212,,empty_smiles,nan
MGTbind,72,,empty_smiles,nan
