id,content,doi,patent_link,title,journal,document_type,pubmed_id,year,month,day,volume,issue,first_page,last_page
11,"Yin, P., Fan, H., Hao, Q., Yuan, X., Wu, D., Pang, Y., Yan, C., Li, W., Wang, J., & Yan, N. (2009). Structural insights into the mechanism of abscisic acid signaling by PYL proteins. Nature Structural & Molecular Biology, 16(12), 1230–1236.",10.1038/nsmb.1730,,Structural insights into the mechanism of abscisic acid signaling by PYL proteins.,Nature Structural & Molecular Biology,Scientific Literature,19893533,2009,11,5,16,12,1230,1236
12,"Dupeux, F., Antoni, R., Betz, K., Santiago, J., Gonzalez-Guzman, M., Rodriguez, L., Rubio, S., Park, S. Y., Cutler, S. R., Rodriguez, P. L., & Márquez, J. A. (2011). Modulation of abscisic acid signaling in vivo by an engineered receptor-insensitive protein phosphatase type 2C allele. Plant Physiology, 156(1), 106–116.",10.1104/pp.110.170894,,Modulation of abscisic acid signaling in vivo by an engineered receptor-insensitive protein phosphatase type 2C allele.,Plant Physiology,Scientific Literature,21357183,2011,2,28,156,1,106,116
13,"Soon, F. F., Ng, L. M., Zhou, X. E., West, G. M., Kovach, A., Tan, M. H., Suino-Powell, K. M., He, Y., Xu, Y., Chalmers, M. J., et al. (2012). Molecular mimicry regulates ABA signaling by SnRK2 kinases and PP2C phosphatases. Science, 335(6064), 85–88.",10.1126/science.1215106,,Molecular mimicry regulates ABA signaling by SnRK2 kinases and PP2C phosphatases.,Science,Scientific Literature,22116026,2012,1,6,335,6064,85,88
14,"Dupeux, F., Santiago, J., Betz, K., Twycross, J., Park, S. Y., Rodriguez, L., Gonzalez-Guzman, M., Jensen, M. R., Krasnogor, N., Blackledge, M., et al. (2011). A thermodynamic switch modulates abscisic acid receptor sensitivity. The EMBO Journal, 30(20), 4171–4184.",10.1038/emboj.2011.294,,A thermodynamic switch modulates abscisic acid receptor sensitivity.,The EMBO Journal,Scientific Literature,21847091,2011,8,16,30,20,4171,4184
15,"Zhang, X., Zhang, Q., Xin, Q., Yu, L., Wang, Z., Wu, W., Jiang, L., Wang, G., Tian, W., Deng, Z., et al. (2012). Complex structures of the abscisic acid receptor PYL3/RCAR13 reveal a unique regulatory mechanism. Structure, 20(5), 780–790.",10.1016/j.str.2012.02.019,,Complex structures of the abscisic acid receptor PYL3/RCAR13 reveal a unique regulatory mechanism.,Structure,Scientific Literature,22579247,2012,5,9,20,5,780,790
16,"He, Y., Hao, Q., Li, W., Yan, C., Yan, N., & Yin, P. (2014). Identification and characterization of ABA receptors in Oryza sativa. PLoS ONE, 9(4), e95246.",10.1371/journal.pone.0095246,,Identification and characterization of ABA receptors in Oryza sativa.,PLoS ONE,Scientific Literature,24743650,2014,4,17,9,4,e95246,
17,"Han, S., Min, M. K., Lee, S. Y., Lim, C. W., Bhatnagar, N., Lee, Y., Shin, D., Chung, K. Y., Lee, S. C., Kim, B. G., & Lee, S. (2017). Modulation of ABA signaling by altering VxGΦL motif of PP2Cs in Oryza sativa. Molecular Plant, 10(9), 1190–1205.",10.1016/j.molp.2017.08.003,,Modulation of ABA signaling by altering VxGΦL motif of PP2Cs in Oryza sativa.,Molecular Plant,Scientific Literature,28827170,2017,9,12,10,9,1190,1205
18,"Weng, J. K., Ye, M., Li, B., & Noel, J. P. (2016). Co-evolution of hormone metabolism and signaling networks expands plant adaptive plasticity. Cell, 166(4), 881–893.",10.1016/j.cell.2016.06.027,,Co-evolution of hormone metabolism and signaling networks expands plant adaptive plasticity.,Cell,Scientific Literature,27518563,2016,8,11,166,4,881,893
19,"Moreno-Alvero, M., Yunta, C., Gonzalez-Guzman, M., Lozano-Juste, J., Benavente, J. L., Arbona, V., Menéndez, M., Martinez-Ripoll, M., Infantes, L., Gomez-Cadenas, A., et al. (2017). Structure of ligand-bound intermediates of crop ABA receptors highlights PP2C as necessary ABA co-receptor. Molecular Plant, 10(9), 1250–1253.",10.1016/j.molp.2017.07.004,,Structure of ligand-bound intermediates of crop ABA receptors highlights PP2C as necessary ABA co-receptor.,Molecular Plant,Scientific Literature,28736053,2017,9,12,10,9,1250,1253
20,"Han, S., Lee, J. Y., Lee, Y., Kim, T. H., & Lee, S. (2019). Comprehensive survey of the VxGΦL motif of PP2Cs from Oryza sativa reveals the critical role of the fourth position in regulation of ABA responsiveness. Plant Molecular Biology, 101(4-5), 455–469.",10.1007/s11103-019-00916-9,,Comprehensive survey of the VxGΦL motif of PP2Cs from Oryza sativa reveals the critical role of the fourth position in regulation of ABA responsiveness.,Plant Molecular Biology,Scientific Literature,31541388,2019,9,20,101,4-5,455,469
21,"Karakas, E., Simorowski, N., & Furukawa, H. (2011). Subunit arrangement and phenylethanolamine binding in GluN1/GluN2B NMDA receptors. Nature, 475(7355), 249–253.",10.1038/nature10180,,Subunit arrangement and phenylethanolamine binding in GluN1/GluN2B NMDA receptors.,Nature,Scientific Literature,21677647,2011,6,15,475,7355,249,253
22,"Griffith, J. P., Kim, J. L., Kim, E. E., Sintchak, M. D., Thomson, J. A., Fitzgibbon, M. J., Fleming, M. A., Caron, P. R., Hsiao, K., & Navia, M. A. (1995). X-ray structure of calcineurin inhibited by the immunophilin-immunosuppressant FKBP12-FK506 complex. Cell, 82(3), 507–522.",10.1016/0092-8674(95)90439-5,,X-ray structure of calcineurin inhibited by the immunophilin-immunosuppressant FKBP12-FK506 complex.,Cell,Scientific Literature,7543369,1995,8,11,82,3,507,522
23,"Juvvadi, P. R., Fox, D., 3rd, Bobay, B. G., Hoy, M. J., Gobeil, S. M. C., Venters, R. A., Chang, Z., Lin, J. J., Averette, A. F., Cole, D. C., et al. (2019). Harnessing calcineurin-FK506-FKBP12 crystal structures from invasive fungal pathogens to develop antifungal agents. Nature Communications, 10(1), 4275.",10.1038/s41467-019-12199-1,,Harnessing calcineurin-FK506-FKBP12 crystal structures from invasive fungal pathogens to develop antifungal agents.,Nature Communications,Scientific Literature,31537789,2019,9,19,10,1,4275,
24,"Siekierka, J. J., Hung, S. H., Poe, M., Lin, C. S., & Sigal, N. H. (1989). A cytosolic binding protein for the immunosuppressant FK506 has peptidyl-prolyl isomerase activity but is distinct from cyclophilin. Nature, 341(6244), 755–757.",10.1038/341755a0,,A cytosolic binding protein for the immunosuppressant FK506 has peptidyl-prolyl isomerase activity but is distinct from cyclophilin.,Nature,Scientific Literature,2477714,1989,10,26,341,6244,755,757
25,"Bulawa, C. E., Connelly, S., Devit, M., Wang, L., Weigel, C., Fleming, J. A., Packman, J., Powers, E. T., Wiseman, R. L., Foss, T. R., et al. (2012). Tafamidis, a potent and selective transthyretin kinetic stabilizer that inhibits the amyloid cascade. Proceedings of the National Academy of Sciences of the United States of America, 109(24), 9629–9634.",10.1073/pnas.1121005109,,"Tafamidis, a potent and selective transthyretin kinetic stabilizer that inhibits the amyloid cascade.",Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,22645360,2012,6,12,109,24,9629,9634
26,"Graves, B., Thompson, T., Xia, M., Janson, C., Lukacs, C., Deo, D., Di Lello, P., Fry, D., Garvie, C., Huang, K. S., et al. (2012). Activation of the p53 pathway by small-molecule-induced MDM2 and MDMX dimerization. Proceedings of the National Academy of Sciences of the United States of America, 109(29), 11788–11793.",10.1073/pnas.1203789109,,Activation of the p53 pathway by small-molecule-induced MDM2 and MDMX dimerization.,Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,22745160,2012,7,17,109,29,11788,11793
27,"Malashkevich, V. N., Dulyaninova, N. G., Ramagopal, U. A., Liriano, M. A., Varney, K. M., Knight, D., Brenowitz, M., Weber, D. J., Almo, S. C., & Bresnick, A. R. (2010). Phenothiazines inhibit S100A4 function by inducing protein oligomerization. Proceedings of the National Academy of Sciences of the United States of America, 107(19), 8605–8610.",10.1073/pnas.0913660107,,Phenothiazines inhibit S100A4 function by inducing protein oligomerization.,Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,20421509,2010,5,11,107,19,8605,8610
28,"Watson, P. J., Fairall, L., Santos, G. M., & Schwabe, J. W. (2012). Structure of HDAC3 bound to co-repressor and inositol tetraphosphate. Nature, 481(7381), 335–340.",10.1038/nature10728,,Structure of HDAC3 bound to co-repressor and inositol tetraphosphate.,Nature,Scientific Literature,22230954,2012,1,9,481,7381,335,340
29,"Zhang, M., Pascal, J. M., Schumann, M., Armen, R. S., & Zhang, J. F. (2012). Identification of the functional binding pocket for compounds targeting small-conductance Ca²⁺-activated potassium channels. Nature Communications, 3, 1021.",10.1038/ncomms2017,,Identification of the functional binding pocket for compounds targeting small-conductance Ca²⁺-activated potassium channels.,Nature Communications,Scientific Literature,22929778,2012,8,28,3,,1021,
30,"Zhang, M., Pascal, J. M., & Zhang, J. F. (2013). Unstructured to structured transition of an intrinsically disordered protein peptide in coupling Ca²⁺-sensing and SK channel activation. Proceedings of the National Academy of Sciences of the United States of America, 110(12), 4828–4833.",10.1073/pnas.1220253110,,Unstructured to structured transition of an intrinsically disordered protein peptide in coupling Ca²⁺-sensing and SK channel activation.,Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,23487779,2013,3,19,110,12,4828,2833
31,"Santiago, J., Henzler, C., & Hothorn, M. (2013). Molecular mechanism for plant steroid receptor activation by somatic embryogenesis co-receptor kinases. Science, 341(6148), 889–892.",10.1126/science.1242468,,Molecular mechanism for plant steroid receptor activation by somatic embryogenesis co-receptor kinases.,Science,Scientific Literature,23929946,2013,8,23,341,6148,889,892
32,"Sun, Y., Han, Z., Tang, J., Hu, Z., Chai, C., Zhou, B., & Chai, J. (2013). Structure reveals that BAK1 as a co-receptor recognizes the BRI1-bound brassinolide. Cell Research, 23(11), 1326–1329.",10.1038/cr.2013.131,,Structure reveals that BAK1 as a co-receptor recognizes the BRI1-bound brassinolide.,Cell Research,Scientific Literature,24126715,2013,11,,23,11,1326,1329
33,"Huang, H., Ceccarelli, D. F., Orlicky, S., St-Cyr, D. J., Ziemba, A., Garg, P., Plamondon, S., Auer, M., Sidhu, S., Marinier, A., et al. (2014). E2 enzyme inhibition by stabilization of a low-affinity interface with ubiquitin. Nature Chemical Biology, 10(2), 156–163.",10.1038/nchembio.1412,,E2 enzyme inhibition by stabilization of a low-affinity interface with ubiquitin.,Nature Chemical Biology,Scientific Literature,24316736,2014,2,,10,2,156,163
34,"Waring, M. J., Chen, H., Rabow, A. A., Walker, G., Bobby, R., Boiko, S., Bradbury, R. H., Callis, R., Clark, E., Dale, I., et al. (2016). Potent and selective bivalent inhibitors of BET bromodomains. Nature Chemical Biology, 12(12), 1097–1104.",10.1038/nchembio.2210,,Potent and selective bivalent inhibitors of BET bromodomains.,Nature Chemical Biology,Scientific Literature,27775716,2016,12,,12,12,1097,1104
35,"Petzold, G., Fischer, E. S., & Thomä, N. H. (2016). Structural basis of lenalidomide-induced CK1α degradation by the CRL4(CRBN) ubiquitin ligase. Nature, 532(7597), 127–130.",10.1038/nature16979,,Structural basis of lenalidomide-induced CK1α degradation by the CRL4(CRBN) ubiquitin ligase.,Nature,Scientific Literature,26909574,2016,4,7,532,7597,127,130
36,"Krönke, J., Udeshi, N. D., Narla, A., Grauman, P., Hurst, S. N., McConkey, M., Svinkina, T., Heckl, D., Comer, E., Li, X., et al. (2014). Lenalidomide causes selective degradation of IKZF1 and IKZF3 in multiple myeloma cells. Science, 343(6168), 301–305.",10.1126/science.1244851,,Lenalidomide causes selective degradation of IKZF1 and IKZF3 in multiple myeloma cells.,Science,Scientific Literature,24292625,2014,1,17,343,6168,301,305
37,"Matyskiela, M. E., Lu, G., Ito, T., Pagarigan, B., Lu, C. C., Miller, K., Fang, W., Wang, N. Y., Nguyen, D., Houston, J., et al. (2016). A novel cereblon modulator recruits GSPT1 to the CRL4(CRBN) ubiquitin ligase. Nature, 535(7611), 252–257.",10.1038/nature18611,,A novel cereblon modulator recruits GSPT1 to the CRL4(CRBN) ubiquitin ligase.,Nature,Scientific Literature,27338790,2016,7,14,535,7611,252,257
38,"Nishiguchi, G., Keramatnia, F., Min, J., Chang, Y., Jonchere, B., Das, S., Actis, M., Price, J., Chepyala, D., Young, B., et al. (2021). Identification of potent, selective, and orally bioavailable small-molecule GSPT1/2 degraders from a focused library of cereblon modulators. Journal of Medicinal Chemistry, 64(11), 7296–7311.",10.1021/acs.jmedchem.0c01313,,"Identification of potent, selective, and orally bioavailable small-molecule GSPT1/2 degraders from a focused library of cereblon modulators.",Journal of Medicinal Chemistry,Scientific Literature,34042448,2021,6,10,64,11,7296,7311
39,"Zak, K. M., Grudnik, P., Guzik, K., Zieba, B. J., Musielak, B., Dömling, A., Dubin, G., & Holak, T. A. (2016). Structural basis for small molecule targeting of the programmed death ligand 1 (PD-L1). Oncotarget, 7(21), 30323–30335.",10.18632/oncotarget.8730,,Structural basis for small molecule targeting of the programmed death ligand 1 (PD-L1).,Oncotarget,Scientific Literature,27083005,2016,5,24,7,21,30323,30335
40,"Chupak, L. S., & Zheng, X. (2015). Compounds useful as immunomodulators. WIPO (PCT). WO2015034820A1.",,https://patentimages.storage.googleapis.com/8e/90/01/6780a23a19f23b/WO2015034820A1.pdf,Compounds useful as immunomodulators.,,Patent,,2015,3,12,,,,
41,"Wojtaszek, J. L., Chatterjee, N., Najeeb, J., Ramos, A., Lee, M., Bian, K., Xue, J. Y., Fenton, B. A., Park, H., Li, D., et al. (2019). A small molecule targeting mutagenic translesion synthesis improves chemotherapy. Cell, 178(1), 152–159.e11.",10.1016/j.cell.2019.05.028,,A small molecule targeting mutagenic translesion synthesis improves chemotherapy.,Cell,Scientific Literature,31178121,2019,6,27,178,1,152,159
42,"Lin, S. M., Lin, S. C., Hsu, J. N., Chang, C. K., Chien, C. M., Wang, Y. S., Wu, H. Y., Jeng, U. S., Kehn-Hall, K., & Hou, M. H. (2020). Structure-based stabilization of non-native protein-protein interactions of coronavirus nucleocapsid proteins in antiviral drug design. Journal of Medicinal Chemistry, 63(6), 3131–3141.",10.1021/acs.jmedchem.9b01913,,Structure-based stabilization of non-native protein-protein interactions of coronavirus nucleocapsid proteins in antiviral drug design.,Journal of Medicinal Chemistry,Scientific Literature,32105468,2020,3,26,63,6,3131,3141
43,"Morgan, G. J., Yan, N. L., Mortenson, D. E., Rennella, E., Blundon, J. M., Gwin, R. M., Lin, C. Y., Stanfield, R. L., Brown, S. J., Rosen, H., et al. (2019). Stabilization of amyloidogenic immunoglobulin light chains by small molecules. Proceedings of the National Academy of Sciences of the United States of America, 116(17), 8360–8369.",10.1073/pnas.1817567116,,Stabilization of amyloidogenic immunoglobulin light chains by small molecules.,Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,30971495,2019,4,23,116,17,8360,8369
44,"Shigdel, U. K., Lee, S. J., Sowa, M. E., Bowman, B. R., Robison, K., Zhou, M., Pua, K. H., Stiles, D. T., Blodgett, J. A. V., Udwary, D. W., et al. (2020). Genomic discovery of an evolutionarily programmed modality for small-molecule targeting of an intractable protein surface. Proceedings of the National Academy of Sciences of the United States of America, 117(29), 17195–17203.",10.1073/pnas.2006560117,,Genomic discovery of an evolutionarily programmed modality for small-molecule targeting of an intractable protein surface.,Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,30971495,2019,4,23,116,17,8360,8369
45,"Du, X., Volkov, O. A., Czerwinski, R. M., Tan, H., Huerta, C., Morton, E. R., Rizzi, J. P., Wehn, P. M., Xu, R., Nijhawan, D., & Wallace, E. M. (2019). Structural basis and kinetic pathway of RBM39 recruitment to DCAF15 by a sulfonamide molecular glue E7820. Structure, 27(11), 1625–1633.e3.",10.1016/j.str.2019.10.005,,Structural basis and kinetic pathway of RBM39 recruitment to DCAF15 by a sulfonamide molecular glue E7820.,Structure,Scientific Literature,31693911,2019,11,5,27,11,1625,1633.e3
46,"Faust, T. B., Yoon, H., Nowak, R. P., Donovan, K. A., Li, Z., Cai, Q., Eleuteri, N. A., Zhang, T., Gray, N. S., & Fischer, E. S. (2020). Structural complementarity facilitates E7820-mediated degradation of RBM39 by DCAF15. Nature Chemical Biology, 16(1), 7–14.",10.1038/s41589-019-0378-3,,Structural complementarity facilitates E7820-mediated degradation of RBM39 by DCAF15.,Nature Chemical Biology,Scientific Literature,31686031,2020,1,,16,1,7,14
47,"Bussiere, D. E., Xie, L., Srinivas, H., Shu, W., Burke, A., Be, C., Zhao, J., Godbole, A., King, D., Karki, R. G., et al. (2020). Structural basis of indisulam-mediated RBM39 recruitment to DCAF15 E3 ligase complex. Nature Chemical Biology, 16(1), 15–23.",10.1038/s41589-019-0411-6,,Structural basis of indisulam-mediated RBM39 recruitment to DCAF15 E3 ligase complex.,Nature Chemical Biology,Scientific Literature,31819272,2020,1,,16,1,15,23
48,"Ting, T. C., Goralski, M., Klein, K., Wang, B., Kim, J., Xie, Y., & Nijhawan, D. (2019). Aryl sulfonamides degrade RBM39 and RBM23 by recruitment to CRL4-DCAF15. Cell Reports, 29(6), 1499–1510.e6.",10.1016/j.celrep.2019.09.079,,Aryl sulfonamides degrade RBM39 and RBM23 by recruitment to CRL4-DCAF15.,Cell Reports,Scientific Literature,31693891,2019,11,5,29,6,1499,1510.e6
49,"Słabicki, M., Kozicka, Z., Petzold, G., Li, Y. D., Manojkumar, M., Bunker, R. D., Donovan, K. A., Sievers, Q. L., Koeppel, J., Suchyta, D., et al. (2020). The CDK inhibitor CR8 acts as a molecular glue degrader that depletes cyclin K. Nature, 585(7824), 293–297.",10.1038/s41586-020-2374-x,,The CDK inhibitor CR8 acts as a molecular glue degrader that depletes cyclin K.,Nature,Scientific Literature,32494016,2020,9,,585,7824,293,297
50,"Kozicka, Z., Suchyta, D. J., Focht, V., Kempf, G., Petzold, G., Jentzsch, M., Zou, C., Di Genua, C., Donovan, K. A., Coomar, S., et al. (2024). Design principles for cyclin K molecular glue degraders. Nature Chemical Biology, 20(1), 93–102.",10.1038/s41589-023-01409-z,,Design principles for cyclin K molecular glue degraders.,Nature Chemical Biology,Scientific Literature,37679459,2024,1,,20,1,93,102
51,"Surka, C., Jin, L., Mbong, N., Lu, C. C., Jang, I. S., Rychak, E., Mendy, D., Clayton, T., Tindall, E., Hsu, C., et al. (2021). CC-90009, a novel cereblon E3 ligase modulator, targets acute myeloid leukemia blasts and leukemia stem cells. Blood, 137(5), 661–677.",10.1182/blood.2020008676,,"CC-90009, a novel cereblon E3 ligase modulator, targets acute myeloid leukemia blasts and leukemia stem cells.",Blood,Scientific Literature,33197925,2021,2,4,137,5,661,677
52,"Słabicki, M., Yoon, H., Koeppel, J., Nitsch, L., Roy Burman, S. S., Di Genua, C., Donovan, K. A., Sperling, A. S., Hunkeler, M., Tsai, J. M., et al. (2020). Small-molecule-induced polymerization triggers degradation of BCL6. Nature, 588(7836), 164–168.",10.1038/s41586-020-2925-1,,Small-molecule-induced polymerization triggers degradation of BCL6.,Nature,Scientific Literature,33208943,2020,12,,588,7836,164,168
53,"Chen, J., Liu, N., Huang, Y., Wang, Y., Sun, Y., Wu, Q., Li, D., Gao, S., Wang, H. W., Huang, N., et al. (2021). Structure of PDE3A-SLFN12 complex and structure-based design for a potent apoptosis inducer of tumor cells. Nature Communications, 12(1), 6204.",10.1038/s41467-021-26546-8,,Structure of PDE3A-SLFN12 complex and structure-based design for a potent apoptosis inducer of tumor cells.,Nature Communications,Scientific Literature,34707099,2021,10,27,12,1,6204,
54,"Khan, Z. M., Real, A. M., Marsiglia, W. M., Chow, A., Duffy, M. E., Yerabolu, J. R., Scopton, A. P., & Dar, A. C. (2020). Structural basis for the action of the drug trametinib at KSR-bound MEK. Nature, 588(7838), 509–514.",10.1038/s41586-020-2760-4,,Structural basis for the action of the drug trametinib at KSR-bound MEK.,Nature,Scientific Literature,32927473,2020,12,,588,7838,509,514
55,"St-Cyr, D., Ceccarelli, D. F., Orlicky, S., van der Sloot, A. M., Tang, X., Kelso, S., Moore, S., James, C., Posternak, G., Coulombe-Huntington, J., et al. (2021). Identification and optimization of molecular glue compounds that inhibit a noncovalent E2 enzyme-ubiquitin complex. Science Advances, 7(44), eabi5797.",10.1126/sciadv.abi5797,,Identification and optimization of molecular glue compounds that inhibit a noncovalent E2 enzyme-ubiquitin complex.,Science Advances,Scientific Literature,34705497,2021,10,29,7,44,eabi5797,
56,"Cao, S., Kang, S., Mao, H., Yao, J., Gu, L., & Zheng, N. (2022). Defining molecular glues with a dual-nanobody cannabidiol sensor. Nature Communications, 13(1), 815.",10.1038/s41467-022-28507-1,,Defining molecular glues with a dual-nanobody cannabidiol sensor.,Nature Communications,Scientific Literature,35145136,2022,2,10,13,1,815,
57,"Hsia, O., Hinterndorfer, M., Cowan, A. D., Iso, K., Ishida, T., Sundaramoorthy, R., Nakasone, M. A., Imrichova, H., Schätz, C., Rukavina, A., et al. (2024). Targeted protein degradation via intramolecular bivalent glues. Nature, 627(8002), 204–211.",10.1038/s41586-024-07089-6,,Targeted protein degradation via intramolecular bivalent glues.,Nature,Scientific Literature,38383787,2024,3,,627,8002,204,211
58,"Xu, H. E., Stanley, T. B., Montana, V. G., Lambert, M. H., Shearer, B. G., Cobb, J. E., McKee, D. D., Galardi, C. M., Plunket, K. D., Nolte, R. T., et al. (2002). Structural basis for antagonist-mediated recruitment of nuclear co-repressors by PPARalpha. Nature, 415(6873), 813–817.",10.1038/415813a,,Structural basis for antagonist-mediated recruitment of nuclear co-repressors by PPARalpha.,Nature,Scientific Literature,11845213,2002,2,14,415,6873,813,817
59,"Ottmann, C., Marco, S., Jaspert, N., Marcon, C., Schauer, N., Weyand, M., Vandermeeren, C., Duby, G., Boutry, M., Wittinghofer, A., et al. (2007). Structure of a 14-3-3 coordinated hexamer of the plant plasma membrane H+ -ATPase by combining X-ray crystallography and electron cryomicroscopy. Molecular Cell, 25(3), 427–440.",10.1016/j.molcel.2006.12.017,,Structure of a 14-3-3 coordinated hexamer of the plant plasma membrane H+ -ATPase by combining X-ray crystallography and electron cryomicroscopy.,Molecular Cell,Scientific Literature,17289589,2007,2,9,25,3,427,440
60,"Molzan, M., Schumacher, B., Ottmann, C., Baljuls, A., Polzien, L., Weyand, M., Thiel, P., Rose, R., Rose, M., Kuhenne, P., et al. (2010). Impaired binding of 14-3-3 to C-RAF in Noonan syndrome suggests new approaches in diseases with increased Ras signaling. Molecular and Cellular Biology, 30(19), 4698–4711.",10.1128/MCB.01636-09,,Impaired binding of 14-3-3 to C-RAF in Noonan syndrome suggests new approaches in diseases with increased Ras signaling.,Molecular and Cellular Biology,Scientific Literature,20679480,2010,10,,30,19,4698,4711
61,"Anders, C., Higuchi, Y., Koschinsky, K., Bartel, M., Schumacher, B., Thiel, P., Nitta, H., Preisig-Müller, R., Schlichthörl, G., Renigunta, V., et al. (2013). A semisynthetic fusicoccane stabilizes a protein-protein interaction and enhances the expression of K+ channels at the cell surface. Chemistry & Biology, 20(4), 583–593.",10.1016/j.chembiol.2013.03.015,,A semisynthetic fusicoccane stabilizes a protein-protein interaction and enhances the expression of K+ channels at the cell surface.,Chemistry & Biology,Scientific Literature,23601647,2013,4,18,20,4,583,593
62,"De Vries-van Leeuwen, I. J., da Costa Pereira, D., Flach, K. D., Piersma, S. R., Haase, C., Bier, D., Yalcin, Z., Michalides, R., Feenstra, K. A., Jiménez, C. R., et al. (2013). Interaction of 14-3-3 proteins with the estrogen receptor alpha F domain provides a drug target interface. Proceedings of the National Academy of Sciences of the United States of America, 110(22), 8894–8899.",10.1073/pnas.1220809110,,Interaction of 14-3-3 proteins with the estrogen receptor alpha F domain provides a drug target interface.,Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,23676274,2013,5,28,110,22,8894,8899
