id,name,type,molecular_formula,description,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,logp,ring_count,rotatable_bond_count,topological_polar_surface_area,canonical_smiles,inchi,inchi_key,iupac_name,exact_mass_source,h_bond_acceptor_count_source,h_bond_donor_count_source,heavy_atom_count_source,logp_source,ring_count_source,rotatable_bond_count_source,topological_polar_surface_area_source,ref_id,pubchem_id,chembl_id,covalent_type
586,JP-2-249,heterodimerization-degrader,C25H25N5O4,"JP-2-249 features a modified fumarate handle optimized for RNF126 binding. It shows improved CDK4 degradation potency in dose-response assays, with chemoproteomic data confirming its interaction with RNF126 and additional RING-family E3 ligases.",459.1906543,8,2,34,2.5277,4,6,121.88,COc4ccc(C(=O)/C=C/C(=O)N3CCN(c2cc(c1ccccc1O)nnc2N)CC3)cc4,"InChI=1S/C25H25N5O4/c1-34-18-8-6-17(7-9-18)22(31)10-11-24(33)30-14-12-29(13-15-30)21-16-20(27-28-25(21)26)19-4-2-3-5-23(19)32/h2-11,16,32H,12-15H2,1H3,(H2,26,28)/b11-10+",KBSAPXILKARMEB-ZHACJKMWSA-N,"(E)-1-[4-[3-amino-6-(2-hydroxyphenyl)pyridazin-4-yl]piperazin-1-yl]-4-(4-methoxyphenyl)but-2-ene-1,4-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,123,171527593,,covalent
587,JP-2-244,heterodimerization-degrader,C28H29ClN6O5,"JP-2-244 is a covalent degrader analog with a sterically tuned fumarate handle. It maintains CDK4 degradation activity but with altered kinetics, reflecting subtle differences in E3 ligase engagement. Gel-based ABPP validates its covalent modification of RNF126.",564.1887957,9,2,40,3.656,4,9,125.99,CNc4nc(Nc3ccc(C(=O)N2CCN(C(=O)/C=C/C(=O)c1ccc(OC)cc1)CC2)cc3OC)ncc4Cl,"InChI=1S/C28H29ClN6O5/c1-30-26-21(29)17-31-28(33-26)32-22-9-6-19(16-24(22)40-3)27(38)35-14-12-34(13-15-35)25(37)11-10-23(36)18-4-7-20(39-2)8-5-18/h4-11,16-17H,12-15H2,1-3H3,(H2,30,31,32,33)/b11-10+",JEAMPRFLKUGMIJ-ZHACJKMWSA-N,"(E)-1-[4-[4-[[5-chloro-4-(methylamino)pyrimidin-2-yl]amino]-3-methoxybenzoyl]piperazin-1-yl]-4-(4-methoxyphenyl)but-2-ene-1,4-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,123,171527649,,covalent
588,JP-2-197,heterodimerization-degrader,C34H33ClN6O4S,"JP-2-197 is a key intermediate in the fumarate-handle optimization series. It exhibits moderate CDK4 degradation and serves as a scaffold for further modifications. Its chemoproteomic profile reveals interactions with RNF126, supporting the handle’s role in E3 ligase recruitment.",656.1972522,9,0,46,5.30816,6,7,109.99,COc6ccc(C(=O)/C=C/C(=O)N5CCN(C(=O)C[C@@H]3/N=C(c1ccc(Cl)cc1)\c2c(C)c(C)sc2n4c(C)nnc34)CC5)cc6,"InChI=1S/C34H33ClN6O4S/c1-20-21(2)46-34-31(20)32(24-5-9-25(35)10-6-24)36-27(33-38-37-22(3)41(33)34)19-30(44)40-17-15-39(16-18-40)29(43)14-13-28(42)23-7-11-26(45-4)12-8-23/h5-14,27H,15-19H2,1-4H3/b14-13+/t27-/m0/s1",WJQUXZKGMGEUTI-DEIPZHPTSA-N,"(E)-1-[4-[2-[(9S)-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetyl]piperazin-1-yl]-4-(4-methoxyphenyl)but-2-ene-1,4-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,123,171527738,,covalent
589,JP-2-217,heterodimerization-degrader,C30H32N4O6S,"JP-2-217 demonstrates robust CDK4 degradation via RNF126 engagement. Its design highlights the transposability of the fumarate handle, as it retains activity despite structural variations. Competition assays confirm selective targeting of RNF126’s C32 residue.",576.2042557,9,0,41,3.144,5,9,101.51,COc5ccc(C(=O)/C=C/C(=O)N4CCN(C(=O)COc3ccc(c2csc(N1CCOCC1)n2)cc3)CC4)cc5,"InChI=1S/C30H32N4O6S/c1-38-24-6-4-23(5-7-24)27(35)10-11-28(36)32-12-14-33(15-13-32)29(37)20-40-25-8-2-22(3-9-25)26-21-41-30(31-26)34-16-18-39-19-17-34/h2-11,21H,12-20H2,1H3/b11-10+",VSSVYPVREOGSLZ-ZHACJKMWSA-N,"(E)-1-(4-methoxyphenyl)-4-[4-[2-[4-(2-morpholin-4-yl-1,3-thiazol-4-yl)phenoxy]acetyl]piperazin-1-yl]but-2-ene-1,4-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,123,171527582,,covalent
590,JP-2-224,heterodimerization-degrader,C28H30N4O4S,JP-2-224 is a high-potency CDK4 degrader with an optimized fumarate handle. It shows superior RNF126 binding and degradation efficiency in cellular assays. The probe JP-2-196-alkyne validates its direct interaction with RNF126 via gel-based ABPP.,518.1987764,8,0,37,3.743,5,7,75.21,COc5ccc(C(=O)/C=C/C(=O)N4CCN(c3ccc(c2csc(N1CCOCC1)n2)cc3)CC4)cc5,"InChI=1S/C28H30N4O4S/c1-35-24-8-4-22(5-9-24)26(33)10-11-27(34)31-14-12-30(13-15-31)23-6-2-21(3-7-23)25-20-37-28(29-25)32-16-18-36-19-17-32/h2-11,20H,12-19H2,1H3/b11-10+",LXVVNCSUUWVSBL-ZHACJKMWSA-N,"(E)-1-(4-methoxyphenyl)-4-[4-[4-(2-morpholin-4-yl-1,3-thiazol-4-yl)phenyl]piperazin-1-yl]but-2-ene-1,4-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,123,171527747,,covalent
593,HQ001,heterodimerization-degrader,C14H12FN5OS2,"HQ001 is a molecular glue compound identified through high-throughput screening. It promotes the interaction between CDK12 and the DDB1-CUL4-RBX1 E3 ubiquitin ligase complex, leading to polyubiquitination and degradation of Cyclin K (CCNK). This degradation impairs CDK12 function, reducing phosphorylation of RNA polymerase II and downregulating DNA damage response genes. HQ001's mechanism highlights its role in targeted protein degradation without requiring a substrate-specific receptor.",349.0467302,7,2,23,3.36692,3,5,79.8,Cc3cnc(NC(=O)Cc2csc(Nc1cccc(F)n1)n2)s3,"InChI=1S/C14H12FN5OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H,17,18,19)",OLEYDMXPANCHPA-UHFFFAOYSA-N,"2-[2-[(6-fluoropyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887699,,non-covalent
594,HQ002,heterodimerization-degrader,C14H12ClN5OS2,"HQ002 functions as a molecular glue by inducing CDK12-DDB1 binding, triggering CCNK ubiquitination and proteasomal degradation. Its cytotoxicity is dependent on the DDB1-CUL4-RBX1 complex, as demonstrated by CRISPR-Cas9 knockout studies. HQ002's activity compromises CDK12-mediated phosphorylation, affecting gene expression and cell viability.",365.0171797,7,2,23,3.88122,3,5,79.8,Cc3cnc(NC(=O)Cc2csc(Nc1cccc(Cl)n1)n2)s3,"InChI=1S/C14H12ClN5OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H,17,18,19)",VWDHDHNMECLICK-UHFFFAOYSA-N,"2-[2-[(6-chloropyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887831,,non-covalent
595,HQ003,heterodimerization-degrader,C14H12BrN5OS2,"HQ003 is a molecular glue degrader that recruits CDK12 to the DDB1-CUL4-RBX1 E3 ligase, resulting in CCNK degradation. Loss of CCNK disrupts CDK12's role in transcription elongation and DNA damage response. HQ003's potency is linked to its ability to bypass substrate-specific receptors, offering a novel degradation strategy.",408.9666641,7,2,23,3.99032,3,5,79.8,Cc3cnc(NC(=O)Cc2csc(Nc1cccc(Br)n1)n2)s3,"InChI=1S/C14H12BrN5OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H,17,18,19)",AQNZJUPTCLYFTA-UHFFFAOYSA-N,"2-[2-[(6-bromopyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887712,,non-covalent
596,HQ004,heterodimerization-degrader,C16H17N5OS2,"HQ004 mediates CDK12-DDB1 interactions, leading to CCNK polyubiquitination and degradation. This molecular glue activity reduces CDK12-dependent phosphorylation of RNA polymerase II, impairing transcriptional regulation. HQ004's mechanism is validated by resistance conferred by DDB1 or CDK12 mutations.",359.0874522,7,2,24,3.79022,3,6,79.8,CCc3cccc(Nc2nc(CC(=O)Nc1ncc(C)s1)cs2)n3,"InChI=1S/C16H17N5OS2/c1-3-11-5-4-6-13(18-11)20-16-19-12(9-23-16)7-14(22)21-15-17-8-10(2)24-15/h4-6,8-9H,3,7H2,1-2H3,(H,17,21,22)(H,18,19,20)",GABXTADXGHTPSI-UHFFFAOYSA-N,"2-[2-[(6-ethylpyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887837,,non-covalent
597,HQ005,heterodimerization-degrader,C15H15N5O2S2,"HQ005 acts as a molecular glue by bridging CDK12 and DDB1, enabling CCNK ubiquitination and proteasomal clearance. Its cytotoxicity is abolished in DDB1-deficient cells, confirming reliance on the E3 ligase complex. HQ005 highlights the potential of glues to target undruggable proteins.",361.0667167,8,3,24,2.72012,3,6,100.03,Cc3cnc(NC(=O)Cc2csc(Nc1cccc(CO)n1)n2)s3,"InChI=1S/C15H15N5O2S2/c1-9-6-16-14(24-9)20-13(22)5-11-8-23-15(18-11)19-12-4-2-3-10(7-21)17-12/h2-4,6,8,21H,5,7H2,1H3,(H,16,20,22)(H,17,18,19)",RCCDIUZAPKBQLV-UHFFFAOYSA-N,"2-[2-[[6-(hydroxymethyl)pyridin-2-yl]amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,165665550,CHEMBL5203698,non-covalent
598,HQ006,heterodimerization-degrader,C15H15N5O2S2,"HQ006 induces CDK12-DDB1 binding, promoting CCNK degradation via the ubiquitin-proteasome system. This disrupts CDK12's transcriptional functions, particularly in DNA damage response genes. HQ006's activity underscores the utility of molecular glues in targeted protein degradation.",361.0667167,8,2,24,3.23642,3,6,89.03,COc3cccc(Nc2nc(CC(=O)Nc1ncc(C)s1)cs2)n3,"InChI=1S/C15H15N5O2S2/c1-9-7-16-14(24-9)20-12(21)6-10-8-23-15(17-10)19-11-4-3-5-13(18-11)22-2/h3-5,7-8H,6H2,1-2H3,(H,16,20,21)(H,17,18,19)",XHNSBGHKGAKQLE-UHFFFAOYSA-N,"2-[2-[(6-methoxypyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887703,,non-covalent
599,HQ007,heterodimerization-degrader,C14H14N6OS2,"HQ007 is a molecular glue that stabilizes the CDK12-DDB1 interaction, triggering CCNK ubiquitination and degradation. The resulting loss of CCNK impairs CDK12 kinase activity, reducing RNA polymerase II phosphorylation. HQ007's effects are reversed by DDB1 or CDK12 knockout.",346.0670511,8,3,23,2.81002,3,5,105.82,Cc3cnc(NC(=O)Cc2csc(Nc1cccc(N)n1)n2)s3,"InChI=1S/C14H14N6OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H3,15,17,18,19)",QVRPMHDRWHSFIY-UHFFFAOYSA-N,"2-[2-[(6-aminopyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887710,,non-covalent
600,HQ008,heterodimerization-degrader,C17H15N7OS2,"HQ008 functions by recruiting CDK12 to DDB1-CUL4-RBX1, leading to CCNK degradation. This molecular glue mechanism compromises CDK12's role in transcription elongation and DNA repair. HQ008's specificity is demonstrated by resistance mutations in CDK12.",397.0779501,9,2,27,3.41352,4,6,97.62,Cc4cnc(NC(=O)Cc3csc(Nc2cccc(n1cccn1)n2)n3)s4,"InChI=1S/C17H15N7OS2/c1-11-9-18-16(27-11)23-15(25)8-12-10-26-17(20-12)22-13-4-2-5-14(21-13)24-7-3-6-19-24/h2-7,9-10H,8H2,1H3,(H,18,23,25)(H,20,21,22)",GOZYMSUKKKEICN-UHFFFAOYSA-N,"N-(5-methyl-1,3-thiazol-2-yl)-2-[2-[(6-pyrazol-1-ylpyridin-2-yl)amino]-1,3-thiazol-4-yl]acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887701,,non-covalent
601,HQ009,heterodimerization-degrader,C15H12F3N5OS2,"HQ009 promotes CDK12-DDB1 complex formation, resulting in CCNK polyubiquitination and proteasomal degradation. Its cytotoxicity is dependent on intact ubiquitin-proteasome pathways, as shown by genetic screens. HQ009 exemplifies a non-traditional degradation strategy.",399.0435367,7,2,26,4.24662,3,5,79.8,Cc3cnc(NC(=O)Cc2csc(Nc1cccc(C(F)(F)F)n1)n2)s3,"InChI=1S/C15H12F3N5OS2/c1-8-6-19-13(26-8)23-12(24)5-9-7-25-14(20-9)22-11-4-2-3-10(21-11)15(16,17)18/h2-4,6-7H,5H2,1H3,(H,19,23,24)(H,20,21,22)",JOEZMQAHQHRTDZ-UHFFFAOYSA-N,"N-(5-methyl-1,3-thiazol-2-yl)-2-[2-[[6-(trifluoromethyl)pyridin-2-yl]amino]-1,3-thiazol-4-yl]acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,166887713,,non-covalent
602,HQ010,heterodimerization-degrader,C14H13N5OS2,"HQ010 acts as a molecular glue by binding CDK12 and DDB1, inducing CCNK degradation. This disrupts CDK12-mediated phosphorylation and transcriptional regulation. HQ010's mechanism bypasses substrate receptors, offering a unique approach to protein degradation.",331.056152,7,2,22,3.22782,3,5,79.8,Cc3cnc(NC(=O)Cc2csc(Nc1ccccn1)n2)s3,"InChI=1S/C14H13N5OS2/c1-9-7-16-13(22-9)19-12(20)6-10-8-21-14(17-10)18-11-4-2-3-5-15-11/h2-5,7-8H,6H2,1H3,(H,15,17,18)(H,16,19,20)",IRVKFRZWUBEJNQ-UHFFFAOYSA-N,"N-(5-methyl-1,3-thiazol-2-yl)-2-[2-(pyridin-2-ylamino)-1,3-thiazol-4-yl]acetamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,105,49737597,,non-covalent
603,BIO-2007817,heterodimerization-nondegrader,C32H36N6O3,"A potent tetrahydropyrazolo-pyrazine (THPP) molecular glue with EC50 = 150 nM, enhancing parkin activation by phospho-ubiquitin (pUb). Binds at the RING0-pUb interface, stabilizing the active conformation and promoting Rcat domain release. Rescues parkin EOPD mutants (R42P, V56E) in mitophagy assays. Demonstrated pUb-dependent activity in ubiquitination and Ub-VS assays, confirming allosteric modulation.",552.284889,7,0,41,4.6311,6,6,85.49,CO[C@H](C(=O)N5Cc4c(c3ccc(C(=O)N2CCCc1ccccc12)cc3)cnn4C[C@H]5C(C)C)c6cnn(C)c6,"InChI=1S/C32H36N6O3/c1-21(2)28-20-38-29(19-37(28)32(40)30(41-4)25-16-33-35(3)18-25)26(17-34-38)22-11-13-24(14-12-22)31(39)36-15-7-9-23-8-5-6-10-27(23)36/h5-6,8,10-14,16-18,21,28,30H,7,9,15,19-20H2,1-4H3/t28-,30-/m0/s1",FFUVDKANSJZSAK-JDXGNMNLSA-N,"(2S)-1-[(6R)-3-[4-(3,4-dihydro-2H-quinoline-1-carbonyl)phenyl]-6-propan-2-yl-6,7-dihydro-4H-pyrazolo[1,5-a]pyrazin-5-yl]-2-methoxy-2-(1-methylpyrazol-4-yl)ethanone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,172991773,,non-covalent
604,BIO-2007818,heterodimerization-nondegrader,C32H36N6O3,"A THPP analog acting as a molecular glue to potentiate parkin activation via pUb binding. Shares structural features with BIO-2007817 but exhibits distinct potency and binding kinetics. Stabilizes the parkin-pUb complex, facilitating Rcat domain displacement. Evaluated in autoubiquitination assays, showing pUb-dependent enhancement of parkin activity.",552.284889,7,0,41,4.6311,6,6,85.49,CO[C@@H](C(=O)N5Cc4c(c3ccc(C(=O)N2CCCc1ccccc12)cc3)cnn4C[C@H]5C(C)C)c6cnn(C)c6,"InChI=1S/C32H36N6O3/c1-21(2)28-20-38-29(19-37(28)32(40)30(41-4)25-16-33-35(3)18-25)26(17-34-38)22-11-13-24(14-12-22)31(39)36-15-7-9-23-8-5-6-10-27(23)36/h5-6,8,10-14,16-18,21,28,30H,7,9,15,19-20H2,1-4H3/t28-,30+/m0/s1",FFUVDKANSJZSAK-MFMCTBQISA-N,"(2R)-1-[(6R)-3-[4-(3,4-dihydro-2H-quinoline-1-carbonyl)phenyl]-6-propan-2-yl-6,7-dihydro-4H-pyrazolo[1,5-a]pyrazin-5-yl]-2-methoxy-2-(1-methylpyrazol-4-yl)ethanone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,,,non-covalent
605,BIO-1975900,heterodimerization-nondegrader,C31H30N4O2,"A THPP compound crystallized in complex with parkin and two pUb molecules. Binds adjacent to pUb on RING0, forming contacts with both proteins. Structural data reveal its role in disrupting autoinhibitory interactions, enabling Rcat domain release. HDX-MS confirms conformational changes consistent with parkin activation.",490.2368762,4,0,37,5.1165,6,4,58.44,CC(=O)N5Cc4c(c3ccc(C(=O)N2CCCc1ccccc12)cc3)cnn4C[C@@H]5Cc6ccccc6,"InChI=1S/C31H30N4O2/c1-22(36)34-21-30-28(19-32-35(30)20-27(34)18-23-8-3-2-4-9-23)24-13-15-26(16-14-24)31(37)33-17-7-11-25-10-5-6-12-29(25)33/h2-6,8-10,12-16,19,27H,7,11,17-18,20-21H2,1H3/t27-/m0/s1",ZYSMPORNWLASGT-MHZLTWQESA-N,"1-[(6S)-6-benzyl-3-[4-(3,4-dihydro-2H-quinoline-1-carbonyl)phenyl]-6,7-dihydro-4H-pyrazolo[1,5-a]pyrazin-5-yl]ethanone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,171916831,,non-covalent
606,BIO-1966561,heterodimerization-nondegrader,C33H34N4O2,"A THPP-based molecular glue that augments parkin activity in a pUb-dependent manner. Modulates the RING0-pUb interface, promoting catalytic Rcat domain exposure. Shows submicromolar efficacy in ubiquitination assays but lower potency compared to BIO-2007817.",518.2681763,4,0,39,5.7526,6,5,58.44,CC(C)[C@@H]5Cn4ncc(c3ccc(C(=O)N2CCCc1ccccc12)cc3)c4CN5C(=O)Cc6ccccc6,"InChI=1S/C33H34N4O2/c1-23(2)30-22-37-31(21-36(30)32(38)19-24-9-4-3-5-10-24)28(20-34-37)25-14-16-27(17-15-25)33(39)35-18-8-12-26-11-6-7-13-29(26)35/h3-7,9-11,13-17,20,23,30H,8,12,18-19,21-22H2,1-2H3/t30-/m0/s1",WTOJGTVNNVHHER-PMERELPUSA-N,"(7R)-3-[4-(3,4-dihydro-2H-quinoline-1-carbonyl)phenyl]-7-propan-2-yl-3,4,6,7-tetrahydropyrazolo[1,5-a]pyrazin-5-one",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,,,non-covalent
607,BIO-1983977,heterodimerization-nondegrader,C32H42N4O2,"A THPP activator of parkin, functioning as a molecular glue between RING0 and pUb. Induces conformational changes that release the Rcat domain, as evidenced by HDX-MS. Demonstrates pUb-cooperative activation in biochemical assays but with reduced efficacy relative to lead compounds.",514.3307766,4,0,38,5.9138,4,9,58.44,CC(C)CN(CC(C)C)C(=O)c4ccc(c2cnn3C[C@@H](C(C)C)N(C(=O)Cc1ccccc1)Cc23)cc4,"InChI=1S/C32H42N4O2/c1-22(2)18-34(19-23(3)4)32(38)27-14-12-26(13-15-27)28-17-33-36-21-29(24(5)6)35(20-30(28)36)31(37)16-25-10-8-7-9-11-25/h7-15,17,22-24,29H,16,18-21H2,1-6H3/t29-/m0/s1",OSORITLLSWZNHE-LJAQVGFWSA-N,"N,N-bis(2-methylpropyl)-4-[(6R)-5-(2-phenylacetyl)-6-propan-2-yl-6,7-dihydro-4H-pyrazolo[1,5-a]pyrazin-3-yl]benzamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,,,non-covalent
608,BIO-1979167,heterodimerization-nondegrader,C32H32N4O2,"A THPP derivative enhancing parkin’s E3 ligase activity by stabilizing the parkin-pUb complex. Binds allosterically to RING0, facilitating REP displacement and Rcat accessibility. Shows moderate activation in Ub-VS assays, dependent on pUb presence.",504.2525263,4,0,38,5.3625,6,5,58.44,CC(C)[C@@H]5Cn4ncc(c3ccc(C(=O)N2CCc1ccccc12)cc3)c4CN5C(=O)Cc6ccccc6,"InChI=1S/C32H32N4O2/c1-22(2)29-21-36-30(20-35(29)31(37)18-23-8-4-3-5-9-23)27(19-33-36)24-12-14-26(15-13-24)32(38)34-17-16-25-10-6-7-11-28(25)34/h3-15,19,22,29H,16-18,20-21H2,1-2H3/t29-/m0/s1",YXULXTQDOWNYIO-LJAQVGFWSA-N,"(7R)-3-[4-(2,3-dihydroindole-1-carbonyl)phenyl]-7-propan-2-yl-3,4,6,7-tetrahydropyrazolo[1,5-a]pyrazin-5-one",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,,,non-covalent
609,BIO-1967660,heterodimerization-nondegrader,C33H34N4O2,"A THPP molecular glue that potentiates parkin activation through pUb binding. Engages RING0 to disrupt autoinhibition, though with lower affinity than BIO-2007817. Validated in ubiquitination assays, requiring phosphorylated ubiquitin for activity.",518.2681763,4,0,39,5.3581,6,5,58.44,CC(C)[C@@H]5Cn4ncc(c3ccc(C(=O)N2CCc1ccccc1C2)cc3)c4CN5C(=O)Cc6ccccc6,"InChI=1S/C33H34N4O2/c1-23(2)30-22-37-31(21-36(30)32(38)18-24-8-4-3-5-9-24)29(19-34-37)26-12-14-27(15-13-26)33(39)35-17-16-25-10-6-7-11-28(25)20-35/h3-15,19,23,30H,16-18,20-22H2,1-2H3/t30-/m0/s1",WINLPDAPQCGKKY-PMERELPUSA-N,"(7R)-3-[4-(3,4-dihydro-1H-isoquinoline-2-carbonyl)phenyl]-7-phenyl-7-propan-2-yl-3,4,6,7-tetrahydropyrazolo[1,5-a]pyrazin-5-one",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,,,non-covalent
610,BIO-1975902,heterodimerization-nondegrader,C31H30N4O2,"A THPP compound structurally related to BIO-1975900, acting as a pUb-dependent parkin activator. Binds at the RING0-pUb interface, promoting Rcat domain release. Exhibits distinct binding kinetics in ITC studies compared to analogs.",490.2368762,4,0,37,5.1165,6,4,58.44,CC(=O)N5Cc4c(c3ccc(C(=O)N2CCCc1ccccc12)cc3)cnn4C[C@H]5Cc6ccccc6,"InChI=1S/C31H30N4O2/c1-22(36)34-21-30-28(19-32-35(30)20-27(34)18-23-8-3-2-4-9-23)24-13-15-26(16-14-24)31(37)33-17-7-11-25-10-5-6-12-29(25)33/h2-6,8-10,12-16,19,27H,7,11,17-18,20-21H2,1H3/t27-/m1/s1",ZYSMPORNWLASGT-HHHXNRCGSA-N,"1-[(6R)-6-benzyl-3-[4-(3,4-dihydro-2H-quinoline-1-carbonyl)phenyl]-6,7-dihydro-4H-pyrazolo[1,5-a]pyrazin-5-yl]ethanone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,,,non-covalent
612,BIO-2006661,heterodimerization-nondegrader,C30H31N5O3S,"A THPP-based molecular glue that enhances parkin activity by bridging RING0 and pUb. Demonstrates pUb-dependent activation in autoubiquitination assays, though with reduced potency relative to BIO-2007817.",541.2147609,5,1,39,4.0342,6,6,87.54,CNS(=O)(=O)N5Cc4c(c3ccc(C(=O)N2CCCc1ccccc12)cc3)cnn4C[C@@H]5Cc6ccccc6,"InChI=1S/C30H31N5O3S/c1-31-39(37,38)35-21-29-27(19-32-34(29)20-26(35)18-22-8-3-2-4-9-22)23-13-15-25(16-14-23)30(36)33-17-7-11-24-10-5-6-12-28(24)33/h2-6,8-10,12-16,19,26,31H,7,11,17-18,20-21H2,1H3/t26-/m0/s1",HMWCHXOPNZHXOM-SANMLTNESA-N,"(6S)-6-benzyl-3-[4-(3,4-dihydro-2H-quinoline-1-carbonyl)phenyl]-N-methyl-6,7-dihydro-4H-pyrazolo[1,5-a]pyrazine-5-sulfonamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,124,,,non-covalent
