compound_id,smiles,score
ZINC_24145,CS(=O)(=O)CS(=O)(=O)OCCCl,0.43157426
ZINC_41292,CCC(C)(C)[NH+](C)CCC(C)(C)O,0.4315741
ZINC_18285,O=C1NC(=O)C(F)(F)[C@@H](O)N1,0.43157372
ZINC_3431,CC(C)C[NH+](C)CCC(=O)[O-],0.43157372
ZINC_31861,CC(C)[C@@H](C)[NH2+]CC[C@@H](C)[S@](C)=O,0.4315736
ZINC_11601,CCN(CC)C(=O)[C@H]([NH3+])C(C)C,0.4315735
ZINC_37946,CC[C@@H]([NH3+])C[NH2+]CC1C(C)(C)C1(C)C,0.43157345
ZINC_23145,CC1=C[C@H](C)Oc2cc(O)c(O)cc21,0.43157315
ZINC_10425,C=C(C)[C@H](CC(F)(F)F)[NH2+]CC,0.43157315
ZINC_45197,CN(C)c1ccc(Nc2ccc(N(C)C)cc2)cc1,0.43157297
ZINC_41274,C=C1C[C@H](C(=O)[O-])[C@@H](C(=O)[O-])C1,0.43157288
ZINC_3436,CC[NH+](CC)[C@@](C)(CC)[C@@H](C)O,0.43157235
ZINC_16346,[NH3+]C[C@@H]1CCCC[C@H]1[NH+]1CCCCC1,0.43157235
ZINC_49310,C=C(C)C[C@H]([NH3+])CS[C@@H](C)CC,0.43157217
ZINC_4786,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,0.431572
ZINC_49563,CCS(=O)(=O)C(C(C)C)S(=O)(=O)CC,0.4315718
ZINC_27324,Fc1ccc(C=NNC(=S)N/N=C/c2ccc(F)cc2)cc1,0.43157163
ZINC_25930,c1ccc([C@@H]2[C@@H](c3ccccc3)[n+]3ccccc3-c3cccc[n+]32)cc1,0.431571
ZINC_49368,c1ccc([C@H]2COC[C@@H]2c2ccccc2)cc1,0.43157056
ZINC_45164,C[C@H](C1CCCC1)[C@@H](C)Cl,0.43157056
ZINC_47876,FC(F)(F)c1ccccc1CCBr,0.4315703
ZINC_27531,N#CC(Br)(c1ccccc1)c1ccccc1,0.43156955
ZINC_42896,COC1=CS(=O)(=O)C=C1OC,0.43156946
ZINC_33952,COC(=O)/C=C/CBr,0.43156928
ZINC_3056,CCC[NH2+]CC[NH+](C)CC(C)(C)O,0.43156925
ZINC_10966,O=C1CSC(=S)N1CCN1C(=O)CSC1=S,0.43156892
ZINC_42600,C[NH+](C)C[C@H](N)CCC(F)(F)F,0.4315688
ZINC_45207,OC1[C@H]2OC3(CCCCC3)O[C@@H]2C(O)[C@@H]2OC3(CCCCC3)O[C@H]12,0.4315688
ZINC_1383,SCCCCn1cc[nH+]c1,0.43156862
ZINC_45962,O[C@@H](c1ccc(F)cc1)C(F)(F)C(F)F,0.43156847
ZINC_6539,CC(C)(C)[C@]1(C(F)(F)C(F)(F)F)CCC[NH2+]1,0.43156844
ZINC_30837,C[N+](C)(C)CCN1C(=O)C=CC1=O,0.43156835
ZINC_5563,C=C(C)[C@H]([NH3+])c1ccc(F)cc1,0.43156826
ZINC_27874,C[C@@H]1SCCC[C@H]1[NH2+]CC1CC1,0.4315682
ZINC_3636,FC(F)(Cl)Oc1ccccc1,0.431568
ZINC_38449,N[C@@H](C[NH+](CCO)CCO)C(=O)[O-],0.43156794
ZINC_23997,COc1ccc(S(=O)c2ccc(OC)cc2)cc1,0.4315679
ZINC_46204,OCc1cc(I)cc(CO)n1,0.4315679
ZINC_36055,CCC(CC)(CS)C[NH+]1CCCSCC1,0.43156785
ZINC_20663,O=Cc1cccc(C=O)c1Br,0.43156773
ZINC_10835,N#CCSC1[NH+]=c2ccccc2=[NH+]1,0.43156764
ZINC_40860,O=C([O-])C[C@H]1C[C@@H]1CC(=O)[O-],0.43156764
ZINC_3565,[NH3+][C@H](C(=O)[O-])[C@H](O)c1ccc(F)cc1,0.43156764
ZINC_43428,CC[C@@H](CC[NH3+])[NH+]1C[C@@H](C)[C@H](C)C1,0.43156746
ZINC_38550,C[C@H]([C@@H](C)C[NH3+])[NH+](C)CC1CC1,0.4315671
ZINC_8987,CC(C)c1n[nH]c(=S)n1C,0.43156657
ZINC_2233,C/C=C/COCC(CC)(CC)CS,0.43156648
ZINC_2540,CC(C)[C@@H](C)NC(=O)CSCC[NH3+],0.43156645
ZINC_39028,C[C@H](O)[C@H](C)[NH2+]C1(C(=O)[O-])CC1,0.4315664
ZINC_8949,CC1(C)CCC(O)(C[NH2+][C@@H]2CSCCC2(C)C)CC1,0.431566
ZINC_41394,C/C(=C\CCCl)C(C)(C)C,0.4315659
ZINC_30248,CCC[C@H]([NH2+]C)C(OC)OC,0.43156558
ZINC_7113,C=C(C)C[C@@H]([NH3+])COCCC,0.43156558
ZINC_4794,[NH3+]CC(=O)c1ccc(F)cc1,0.4315653
ZINC_27950,Nc1c(Br)cc(F)cc1C(F)(F)F,0.43156528
ZINC_49866,OC1CCC([NH2+][C@H]2CCNC2)CC1,0.43156528
ZINC_36737,CCC(CC)C1(C[NH2+]C)CCCC1,0.43156514
ZINC_44165,CC[C@H](C)[C@H]1CC[C@H]([NH2+]C)C1,0.43156496
ZINC_43986,COC[C@@H](C)[NH2+][C@@H](C)[C@@H](C)O,0.4315648
ZINC_25974,CC(C)(C)CC(C)(C)[NH2+]C1CCCC1,0.43156448
ZINC_23757,N#Cc1c(C(F)(F)F)ccc(F)c1F,0.43156445
ZINC_42440,CC(C)Oc1ccc([C@@H](C)[C@H](C)O)cc1,0.43156436
ZINC_43844,O=C1NN[C@H]2CS(=O)(=O)C[C@H]2N1,0.43156418
ZINC_4822,CSCC[NH2+]Cc1nc(C)c(C)s1,0.43156382
ZINC_9048,C[NH2+][C@@H](CCOC)COC(C)C,0.43156365
ZINC_45444,C[C@@H]1CCC[C@@H]2CCCSC[NH+]21,0.43156356
ZINC_22120,C[C@H]([NH2+]C1C(C)(C)C1(C)C)[C@H](C)C(=O)[O-],0.43156347
ZINC_7939,ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,0.4315633
ZINC_14035,CCC(C)(C)OC[C@H](CS)C(C)(C)C,0.4315633
ZINC_3099,CCCC12C[C@@H]3C[C@@H](CC([NH3+])(C3)C1)C2,0.43156323
ZINC_15345,C[C@@H](Cl)C1CCCCCC1,0.43156323
ZINC_33757,O=c1c(=O)c2ccccc2[nH]c2ccccc12,0.43156302
ZINC_24403,C/C=C/C=N/NC(=O)N/N=C/C=C/C,0.43156293
ZINC_35200,C[C@H](C[NH3+])[C@H](O)[C@@H](C)c1ccccc1,0.43156287
ZINC_26788,CCC[NH+]1C[C@@H](C)C[C@H](C)C1,0.43156257
ZINC_29897,Brc1nccc2nccnc12,0.43156254
ZINC_19184,O=C(C[n+]1ccccc1)NO,0.43156204
ZINC_14736,C1CC2(C1)CN(C1[C@H]3C[NH2+]C[C@@H]13)C2,0.43156192
ZINC_23970,C[C@H](CC[NH2+][C@H](C)C1(C)CC1)[S@](C)=O,0.43156186
ZINC_22658,C=CC[C@@H](O)C12CC3C[C@@](C)(C1)C[C@](C)(C3)C2,0.4315616
ZINC_25539,Cc1cc2c(F)c(F)c(F)c(F)c2[nH]1,0.43156156
ZINC_10983,C[C@H](C(=O)CC(C)(C)C)[C@@H](C)C(=O)[O-],0.4315615
ZINC_9440,SCC1(C[NH+]2CCCSCC2)CCCCC1,0.4315614
ZINC_12148,CC1(C)C(=O)N(CC[NH3+])S1(=O)=O,0.4315613
ZINC_5584,C[NH2+]C[C@H](C)[C@H](C)[NH+](C)CC(C)(C)C,0.4315612
ZINC_33030,CCN(CC(C)C)C(=O)[C@@H](C)Cl,0.43156105
ZINC_33901,N#CC(C#N)=C(c1ccccc1)c1ccccc1,0.43156087
ZINC_37028,[NH3+]Cc1ccc2c(c1)OCCO2,0.43156058
ZINC_22032,CC1(C)CCC[C@]12C[C@H]2C[NH3+],0.43156052
ZINC_49816,C[C@H]1[C@@H]([NH2+][C@@H]2CCNC2)CC[C@@H]1C,0.43156046
ZINC_5318,Cc1c[n+]([O-])cc(C[n+]2ccccc2)[n+]1[O-],0.43156046
ZINC_1798,CN(C)C(=S)N(C(=S)N(C)C)c1ccccc1,0.43156037
ZINC_22973,Cn1cnc(Cl)c1Cl,0.43156028
ZINC_28440,CCC(CC)COC(=O)C(C)=O,0.4315602
ZINC_17118,CC(C)[C@@H](C[NH3+])N(C)CCS(C)(=O)=O,0.43156013
ZINC_31396,CC#CC[N+](C)(C)CCCCCC,0.4315601
ZINC_17481,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1F,0.43155977
ZINC_49308,c1ccc2c(c1)OCC[NH+]1CCOCCOCC[NH+](CCOCCOCC1)CCO2,0.43155947
ZINC_8227,Cc1ccc(CC(N)=S)cc1,0.43155912
ZINC_18737,O=[N+]([O-])c1csc([N+](=O)[O-])n1,0.43155903
ZINC_33041,C[NH2+]Cc1c(C)nn(C(C)C)c1C,0.43155894
ZINC_21190,CC(C)[C@@H]1C[S@](=O)[C@@H](C)C[NH2+]1,0.43155894
ZINC_49657,CCC1(CC)CN(C2C(C)(C)C2(C)C)[C@@H](C)C[NH2+]1,0.43155885
ZINC_25988,O=C([O-])C(Cl)(c1ccccc1)c1ccccc1,0.43155885
ZINC_42633,Brc1ccnc2ccccc12,0.4315588
ZINC_48277,Nc1ccc(/C=C\c2ccccc2)cc1,0.4315586
ZINC_8849,CN(C)C(=S)SCC(N)=O,0.43155852
ZINC_19095,CCOC(=O)C#CC(OCC)OCC,0.4315583
ZINC_14832,CCC(CC)C(O)(C(=O)[O-])C(CC)CC,0.4315581
ZINC_14267,CCC[C@@]1(C=O)NC(=O)NC1=O,0.4315581
ZINC_16581,CNC(=O)C[C@H](C[NH3+])N(C)C(C)C,0.43155804
ZINC_4636,O=C=NC(c1ccccc1)(c1ccccc1)c1ccccc1,0.43155795
ZINC_39775,C[C@]12CC3CC(C[NH2+]C4CCCC4)(C1)C[C@@](C)(C3)C2,0.43155786
ZINC_15162,O=C1[C@@H]2CC3C[C@H]1CC(Br)(C3)C2,0.4315577
ZINC_35596,CSc1cc(Cl)c(Cl)cc1N,0.4315577
ZINC_25454,CC1(C)CCC[C@@H]1[C@@H]1CC[NH2+]C1,0.4315576
ZINC_17340,CC1(C)CC[C@@H]([NH+]2CCCCCCC2)[C@H]1[NH3+],0.4315575
ZINC_34335,CCCc1noc(C([NH3+])(CC)CC)n1,0.4315575
ZINC_30635,C[NH2+][C@H]1CCC[C@@H]([NH+]2CCC[C@@H]2C)C1,0.43155742
ZINC_42300,CS[C@H]1CC[C@@]([NH3+])(CO)C1,0.43155706
ZINC_1920,CCC(CC)([C@H](O)COC(C)C)[NH+](C)C,0.43155706
ZINC_31482,C[NH+](CC(C)(C)C[NH3+])C1CCC1,0.43155706
ZINC_41527,Cc1ccc([C@H](C)[NH2+][C@H](C)c2ccc(F)cc2)cc1,0.4315568
ZINC_3590,CC1CC[NH+](C2[C@H]3C[NH2+]C[C@@H]23)CC1,0.4315566
ZINC_47460,CC[C@H](C(C)C)[C@](C)(O)C(=O)[O-],0.4315565
ZINC_22990,OC[C@H]1O[C@H](O)[C@@H](F)[C@@H]1O,0.4315564
ZINC_27791,ClC(Cl)(Cl)[C@@H]1NCCO1,0.4315564
ZINC_23035,N/C(CCCSC1COC1)=N/O,0.43155625
ZINC_32038,O=S(=O)([O-])c1ccc(S(=O)(=O)[O-])c2ccccc12,0.43155617
ZINC_31163,O=C([O-])/C=C/c1cccc(/C=C/C(=O)[O-])n1,0.43155614
ZINC_44583,CC[C@@H](C)C1(C[NH2+]C(C)C)CC1,0.43155593
ZINC_3107,C[C@H]([NH3+])[C@H]1CCCC(C)(C)CC1,0.43155587
ZINC_30374,OCc1ccc(C[NH2+]C2CC2)cc1,0.43155584
ZINC_44708,COC(=O)C[C@@H](C=O)C(=O)OC,0.43155575
ZINC_28407,C[C@H](C(=O)[O-])n1c(=O)ssc1=O,0.43155557
ZINC_20984,C[C@H]1CCC[NH+](CCCC[NH3+])C1,0.4315555
ZINC_18339,CC(C)[C@H](NC(=O)CC[NH3+])C(=O)[O-],0.43155548
ZINC_20235,CC(C)CCCOC/C=C/CS,0.4315554
ZINC_10241,N[C@H](c1ccc([S-])cc1)C(F)(F)F,0.4315553
ZINC_38286,Cc1cc(F)cc([C@H](O)c2c(F)cccc2F)c1,0.43155512
ZINC_40758,CC(C)[C@H]1CCC[C@H]([C@@H](C)O)CC1,0.43155485
ZINC_22952,O=C([O-])c1ccccc1SSc1ccccc1C(=O)[O-],0.43155468
ZINC_2281,CCC(CC)C(=O)[C@H](C)OC,0.4315544
ZINC_44942,C#CCCS[C@H](C)CCO,0.43155435
ZINC_7952,CC(C)[C@@H](CCOCCO)[C@@H](C)O,0.43155432
ZINC_27245,O[C@H](c1cncc(F)c1)c1cc(F)cc(Br)c1,0.43155423
ZINC_45915,CCN(CC)C(=O)[C@H](C)[NH2+][C@@H](CO)C(C)C,0.43155417
ZINC_38185,CCC[NH+](C)CC(C)(C)[C@@H](C)[NH2+]C,0.43155405
ZINC_17837,[NH3+]C[C@H]1CCC[C@@H]1[NH+]1CCC(CO)CC1,0.43155405
ZINC_18748,C[NH+]1CCC([C@@H]2CCC[NH2+]2)CC1,0.43155405
ZINC_21113,CCCCN(C)C(=O)CC[NH3+],0.431554
ZINC_37989,CS/C(=N\c1ccc(Cl)cc1)N(C)C,0.43155378
ZINC_45625,C#CCN(CC#C)CCCS(=O)(=O)CC,0.4315537
ZINC_12878,Cn1c(N)c(C(N)=S)sc1=S,0.4315537
ZINC_7259,CCC[NH+](C1CC1)[C@@H]1CC[C@H]([NH2+]C)C1,0.43155348
ZINC_38863,C[C@]12CC3CC(C(=O)Cl)(C1)C[C@@](C)(C3)C2,0.43155348
ZINC_5501,C1CC2(C1)C[C@@H]([NH2+]C1COC1)CCO2,0.43155342
ZINC_32555,Cc1cc(C)c([C@H](C)[C@H](C)O)c(C)c1,0.43155342
ZINC_41778,Fc1nc(F)c(F)c(NCCC(F)(F)F)c1F,0.43155333
ZINC_39581,C[C@H]([NH3+])[C@@H](C)c1ccccc1Br,0.43155324
ZINC_25435,CCC1CCC([C@H](C)[C@@H](C)[NH2+]C(C)C)CC1,0.43155324
ZINC_36488,C/C(=C\CC[P@@](=O)([O-])OP(=O)([O-])[O-])CO,0.4315532
ZINC_37399,C[C@H](CO)CSC[C@H](N)C#N,0.43155316
ZINC_45243,CCC(CC)(CC)[NH2+]Cc1noc(C(C)(C)C)n1,0.43155298
ZINC_47096,O=C(Cl)C1CCSCC1,0.43155286
ZINC_1122,Cc1ccc(F)c(Br)n1,0.4315528
ZINC_23738,C[C@@H]1C[C@H]([NH2+]CC2C(C)(C)C2(C)C)CS1,0.4315527
ZINC_9427,CCC1(CC)C[NH+](C2(C(=O)[O-])CC2)C1,0.43155253
ZINC_36409,CC(=O)c1ccc(C(=O)N=[N+]=[N-])cc1,0.43155244
ZINC_27309,Cc1cc(C)cc(C[S@@](=O)CCN=[N+]=[N-])c1,0.43155232
ZINC_2352,CC[C@H](C)[C@@H]1CCCC[C@H]([NH2+]C)C1,0.43155232
ZINC_29193,CCC[NH2+][C@H](C(C)C)C(C)(C)[NH+](C)C,0.43155208
ZINC_29892,C[C@@H]1CCC[C@@]2(C)CCCC[C@]12O,0.43155187
ZINC_24244,CC[C@H](C)[NH2+]Cc1ccccc1,0.4315518
ZINC_38330,CC(C)[NH2+]C[C@H]1C[C@@H]2C=C[C@H]1C2,0.4315517
ZINC_14808,CC1CCC([C@@H](O)[C@@H](C)C[NH3+])CC1,0.43155158
ZINC_11891,CCc1[nH]nc(C[NH2+]C)c1C,0.43155152
ZINC_29866,[NH3+][C@@H](CC1CCC1)[C@H]1CSCCO1,0.43155152
ZINC_30002,CC(C)[C@H](C)[NH2+][C@H](C)[C@H](O)c1ccc(F)c(F)c1,0.4315515
ZINC_38893,C[C@H]([NH3+])[C@H](C)c1cscc1Br,0.43155143
ZINC_18651,OCC[NH+](Cc1ccccc1)Cc1ccccc1,0.4315514
ZINC_15095,[NH3+]CC[NH2+][C@@H]1CCO[C@]2(CCSC2)C1,0.4315514
ZINC_17323,ONC[C@@H](O)c1ccccc1,0.4315514
ZINC_49706,C[NH2+][C@@H]1[C@H](SC(C)C)CCC1(C)C,0.43155134
ZINC_18503,CCCOC[C@@H]([NH3+])C(C)(C)N(C)C,0.43155122
ZINC_15175,Cc1ccccc1C(c1ccccc1C)[n+]1ccccc1,0.43155104
ZINC_15027,Cc1cc(C)c(/N=C/c2ccc(O)cc2)c(C)c1,0.43155098
ZINC_39582,CC[C@H](C)C[NH2+]C[C@@H](C)c1c(C)noc1C,0.43155098
ZINC_8546,C[C@@H]1C[NH+]([C@@H](C)/C(N)=N/O)C[C@@H]1C,0.43155098
ZINC_31767,CCc1c(C)nn(C/C=C/CS)c1C,0.43155086
ZINC_45855,CN(C)C1CC[NH+]([C@H]2CCCC[C@H]2O)CC1,0.43155077
ZINC_34667,CN(C)c1ccc([C@H]([NH3+])CO)cc1,0.43155077
ZINC_42584,N=C1NC(=O)NC12CCCCC2,0.43155077
ZINC_18154,CC(C)(C#N)Sc1ccccc1,0.43155053
ZINC_7051,CS(=O)(=O)CCSCCCS,0.43155053
ZINC_26159,Cc1nc(F)c(Br)cc1Br,0.43155053
ZINC_19880,CC1(C)C[NH+](CCCCC#N)C1,0.43155044
ZINC_26291,COC(=O)/C=C\CCC(=O)OC,0.43155044
ZINC_26770,COC(=O)[C@](C)(Br)CBr,0.43155035
ZINC_5470,Cc1ccc([C@@H](O)[C@@H]2CSCCS2)cc1,0.43155032
ZINC_27331,CC[C@@H]1CC[NH+](C2C(C)(C)C2(C)C)CCC[NH2+]1,0.43155015
ZINC_14497,COC(C)(C)[C@@H](O)CCS(C)(=O)=O,0.4315501
ZINC_23273,CC1(C)CCC[C@@H]1[NH2+]CC1CC1,0.4315501
ZINC_40544,O=S1(=O)CCC(N[C@@H]2CC[NH2+]C2)CC1,0.43155006
ZINC_15970,CSc1ccc([C@H](Cl)c2ccccc2)cc1,0.43154997
ZINC_38317,CN(C)C(/[NH+]=c1/nc(N(C)C)ss1)=[N+](C)C,0.43154997
ZINC_23579,CC(C)[C@H](CO)NS(=O)(=O)C(C)C,0.43154997
ZINC_28437,O=S1(=O)CC[C@@H](C2(O)[C@@H]3CCC[C@@H]32)C1,0.4315499
ZINC_48974,C[C@H]([NH3+])C(C)(C)c1ccc(Br)cc1,0.4315499
ZINC_1178,C[C@H]1CC(N)=C(C#N)C1(C#N)C#N,0.4315499
ZINC_42094,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.43154955
ZINC_11410,COC(=O)[C@@H](C)[C@@H](C)S(=O)(=O)C(C)C,0.43154946
ZINC_5118,CC[C@@H](C)N1C(=O)C=CC1=O,0.4315494
ZINC_35997,CC1(C)OC(=O)C=C(C(F)(F)F)O1,0.43154907
ZINC_7161,CCC[C@@H](C)[C@H](O)[C@H](C#N)CC,0.43154907
ZINC_10844,C[NH2+][C@H](CCO)c1ccccc1,0.4315489
ZINC_26198,[NH3+]C[C@H]1CCC[C@H]1NC1COC1,0.43154868
ZINC_38602,C(=Nn1cnnc1)c1ccccc1,0.43154863
ZINC_35564,O=C1C=C([O-])CC2(CCCCC2)C1,0.43154863
ZINC_15900,CC(C)(C[NH3+])[C@H](O)c1ccco1,0.43154863
ZINC_40264,O=[N+]([O-])C12CN3CCN(C[NH+](C3)C1)C2,0.4315486
ZINC_22207,CCC[NH+](CCOCC)C1CCC([NH3+])CC1,0.43154854
ZINC_7501,O=S1(=O)C[C@@H]2NC(=S)N(O)[C@H]2C1,0.43154854
ZINC_40824,C[C@@H]([NH3+])C(C)(C)CN(C)CCC(F)(F)F,0.43154854
ZINC_48963,N#CCCCC[NH+]1CC2(CCCCC2)C1,0.43154854
ZINC_15116,CN[C@@H]1[C@H]([NH+](C)CC2CC2)CCC1(C)C,0.43154845
ZINC_35674,C[NH2+][C@@H](c1ccoc1)[C@@H]1CSCCS1,0.43154827
ZINC_37330,CN(CC[C@@H]([NH3+])CO)CCS(C)(=O)=O,0.43154818
ZINC_21689,C/C=C(/C)C(=O)N(C)[C@H](C)[C@H](C)S(C)(=O)=O,0.43154815
ZINC_38442,CCOC(=O)C(C(=O)OCC)C(C)(C)C,0.43154755
ZINC_28887,CC(C)(C)C[NH2+][C@@H]1CCNC1,0.43154722
ZINC_37379,OC1CCC(/C=C\C2C[C@@H](O)C[C@@H](O)C2)CC1,0.43154708
ZINC_44227,CCO/C=C/C(=O)C(F)(F)F,0.431547
ZINC_9837,O=C([O-])CC1(C(=O)[O-])CCCCCC1,0.431547
ZINC_8126,C[C@@H]1CN(CC#N)C[C@@H](C)O1,0.43154696
ZINC_25725,Fc1nc(F)c(F)c(SC2CCOCC2)c1F,0.43154696
ZINC_39062,COC(C)(C)CCC[C@H](C)[C@@H](O)CO,0.4315469
ZINC_20630,Cc1c(C)c(O)c(C(=O)Cl)c(C)c1O,0.4315469
ZINC_30463,C=CC[NH+](CC(=O)[O-])C(C)C,0.4315467
ZINC_39967,CC(C)(C)[NH2+]CC[NH2+]C1(C)CCCC1,0.4315467
ZINC_44084,CC1=NO[C@H]2CC/C=C/CC[C@H]12,0.4315465
ZINC_9922,Nc1noc(-c2ccoc2)c1Br,0.43154645
ZINC_44636,CCCn1cncc1[C@H](O)CC[NH3+],0.43154642
ZINC_43878,C[C@H]1CCC[NH+](CC2CCC(C[NH3+])CC2)C1,0.43154633
ZINC_34750,CCC[NH2+]C[C@](C)(CC)C[NH+]1C[C@@H](C)[C@@H](C)C1,0.43154633
ZINC_10214,CNC(=O)O/N=C(\C)[C@H](C)SC,0.43154633
ZINC_8499,OCC#Cc1ccc(Br)cc1,0.43154624
ZINC_18029,C[NH2+]C1CCC([NH+](C)C2[C@@H](C)CCC[C@@H]2C)CC1,0.43154624
