original_smiles,canonical_smiles,canonical_smiles_no_stereo,inchi_key,inchi_key_no_stereo,stereo_present,chiral_centers_count,parse_ok,parse_error,source_dataset,source_id,source_name
C1=CC(=CC(=C1)NC(=O)C2=CC=C(NC2=O)C(F)(F)F)C3=CC=NN3,O=C(Nc1cccc(-c2cc[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,O=C(Nc1cccc(-c2cc[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,KRFAUNDDLPKBNF-UHFFFAOYSA-N,KRFAUNDDLPKBNF-UHFFFAOYSA-N,False,0,True,,mgdb,MG-10,NRX-1532
C1=CC(=CC(=C1)NC(=O)C2=CC=C(NC2=O)C(F)(F)F)C3=NNN=N3,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,IAVMZDPIQIVLOG-UHFFFAOYSA-N,IAVMZDPIQIVLOG-UHFFFAOYSA-N,False,0,True,,mgdb,MG-11,NRX-1933
C1=CC(=CC(=C1)NC(=O)C2=CC=C(NC2=O)C(F)(F)F)C3=NNN=N3,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,IAVMZDPIQIVLOG-UHFFFAOYSA-N,IAVMZDPIQIVLOG-UHFFFAOYSA-N,False,0,True,,mgdb,MG-11,NRX-1933
C1=CC(=CC(=C1)NC(=O)C2=CC=C(NC2=O)C(F)(F)F)C3=NNN=N3,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,IAVMZDPIQIVLOG-UHFFFAOYSA-N,IAVMZDPIQIVLOG-UHFFFAOYSA-N,False,0,True,,mgdb,MG-11,NRX-1933
C1=CC=C(C=C1)OC2=C(C(=O)NC(=C2)C(F)(F)F)C(=O)NC3=CC=CC(=C3)C(=O)O,O=C(O)c1cccc(NC(=O)c2c(Oc3ccccc3)cc(C(F)(F)F)[nH]c2=O)c1,O=C(O)c1cccc(NC(=O)c2c(Oc3ccccc3)cc(C(F)(F)F)[nH]c2=O)c1,QMARDTCIJVODCK-UHFFFAOYSA-N,QMARDTCIJVODCK-UHFFFAOYSA-N,False,0,True,,mgdb,MG-12,NRX-2663
C1=CC=C(C=C1)OC2=C(C(=O)NC(=C2)C(F)(F)F)C(=O)NC3=CC=CC(=C3)C(=O)O,O=C(O)c1cccc(NC(=O)c2c(Oc3ccccc3)cc(C(F)(F)F)[nH]c2=O)c1,O=C(O)c1cccc(NC(=O)c2c(Oc3ccccc3)cc(C(F)(F)F)[nH]c2=O)c1,QMARDTCIJVODCK-UHFFFAOYSA-N,QMARDTCIJVODCK-UHFFFAOYSA-N,False,0,True,,mgdb,MG-12,NRX-2663
C1=CC=C(C=C1)OC2=C(C(=O)NC(=C2)C(F)(F)F)C(=O)NC3=CC=CC(=C3)C(=O)O,O=C(O)c1cccc(NC(=O)c2c(Oc3ccccc3)cc(C(F)(F)F)[nH]c2=O)c1,O=C(O)c1cccc(NC(=O)c2c(Oc3ccccc3)cc(C(F)(F)F)[nH]c2=O)c1,QMARDTCIJVODCK-UHFFFAOYSA-N,QMARDTCIJVODCK-UHFFFAOYSA-N,False,0,True,,mgdb,MG-12,NRX-2663
C1=CC(=CC(=C1)NC(=O)C2=C(C=C(NC2=O)C(F)(F)F)SC3=C(C=CC=C3Cl)Cl)C(=O)O,O=C(O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,O=C(O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,HFBGFWJURBVNFD-UHFFFAOYSA-N,HFBGFWJURBVNFD-UHFFFAOYSA-N,False,0,True,,mgdb,MG-13,NRX-103094
C1=CC(=CC(=C1)NC(=O)C2=C(C=C(NC2=O)C(F)(F)F)SC3=C(C=CC=C3Cl)Cl)C(=O)O,O=C(O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,O=C(O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,HFBGFWJURBVNFD-UHFFFAOYSA-N,HFBGFWJURBVNFD-UHFFFAOYSA-N,False,0,True,,mgdb,MG-13,NRX-103094
C1=CC(=CC(=C1)NC(=O)C2=C(C=C(NC2=O)C(F)(F)F)SC3=C(C=CC=C3Cl)Cl)C(=O)O,O=C(O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,O=C(O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,HFBGFWJURBVNFD-UHFFFAOYSA-N,HFBGFWJURBVNFD-UHFFFAOYSA-N,False,0,True,,mgdb,MG-13,NRX-103094
CN(C)C(=O)C1=CC(=CC=C1)NC(=O)C2=C(C=C(NC2=O)C(F)(F)F)SC3=C(C=CC=C3Cl)Cl,CN(C)C(=O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,CN(C)C(=O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,BGEHEUAOZPAMKC-UHFFFAOYSA-N,BGEHEUAOZPAMKC-UHFFFAOYSA-N,False,0,True,,mgdb,MG-14,NRX-103095
CN(C)C(=O)C1=CC(=CC=C1)NC(=O)C2=C(C=C(NC2=O)C(F)(F)F)SC3=C(C=CC=C3Cl)Cl,CN(C)C(=O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,CN(C)C(=O)c1cccc(NC(=O)c2c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c2=O)c1,BGEHEUAOZPAMKC-UHFFFAOYSA-N,BGEHEUAOZPAMKC-UHFFFAOYSA-N,False,0,True,,mgdb,MG-14,NRX-103095
C1C2=C(CN1C(=O)C3=C(C=C(NC3=O)C(F)(F)F)SC4=C(C=CC=C4Cl)Cl)C(=CC=C2)C#N,N#Cc1cccc2c1CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,N#Cc1cccc2c1CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,BMQXGPBUQGPLOV-UHFFFAOYSA-N,BMQXGPBUQGPLOV-UHFFFAOYSA-N,False,0,True,,mgdb,MG-15,NRX-252114
C1C2=C(CN1C(=O)C3=C(C=C(NC3=O)C(F)(F)F)SC4=C(C=CC=C4Cl)Cl)C(=CC=C2)C#N,N#Cc1cccc2c1CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,N#Cc1cccc2c1CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,BMQXGPBUQGPLOV-UHFFFAOYSA-N,BMQXGPBUQGPLOV-UHFFFAOYSA-N,False,0,True,,mgdb,MG-15,NRX-252114
C1C2=C(CN1C(=O)C3=C(C=C(NC3=O)C(F)(F)F)SC4=C(C=CC=C4Cl)Cl)C(=CC=C2)C#N,N#Cc1cccc2c1CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,N#Cc1cccc2c1CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,BMQXGPBUQGPLOV-UHFFFAOYSA-N,BMQXGPBUQGPLOV-UHFFFAOYSA-N,False,0,True,,mgdb,MG-15,NRX-252114
COC1=C(C=C2CN(CC2=C1)C(=O)C3=C(C=C(NC3=O)C(F)(F)F)SC4=C(C=CC=C4Cl)Cl)OC,COc1cc2c(cc1OC)CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,COc1cc2c(cc1OC)CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,SPAYLOCXFWJEBL-UHFFFAOYSA-N,SPAYLOCXFWJEBL-UHFFFAOYSA-N,False,0,True,,mgdb,MG-16,NRX-252262
COC1=C(C=C2CN(CC2=C1)C(=O)C3=C(C=C(NC3=O)C(F)(F)F)SC4=C(C=CC=C4Cl)Cl)OC,COc1cc2c(cc1OC)CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,COc1cc2c(cc1OC)CN(C(=O)c1c(Sc3c(Cl)cccc3Cl)cc(C(F)(F)F)[nH]c1=O)C2,SPAYLOCXFWJEBL-UHFFFAOYSA-N,SPAYLOCXFWJEBL-UHFFFAOYSA-N,False,0,True,,mgdb,MG-16,NRX-252262
CC(OC(NCCNC(C1=CC(OCCOCCOCCNC(N)=[NH2+])=C(OCCOCCOCCNC(N)=[NH2+])C(OCCOCCOCCNC(N)=[NH2+])=C1)=O)=O)C2=C([N+]([O-])=O)CC(OCCCC(NCC(N=N3)=CN3CCOCCOCCOC4=C(OCCOCCOCCN5C=C(N=N5)CNC(CCCOC6=CC([N+]([O-])=O)=C(C=C6OC)C(OC(NCCNC(C7=CC(OCCOCCOCCNC(N)=[NH2+])=C(OCCOCCOCCNC(N)=[NH2+])C(OCCOCCOCCNC(N)=[NH2+])=C7)=O)=O)C)=O)C=C(C(NCCOCCOCCNC8=CC=C([N+]([O-])=O)C9=NON=C98)=O)C=C4OCCOCCOCCN%10C=C(NN%10)CNC(CCCOC%11=CC([N+]([O-])=O)=C(C=C%11OC)C(OC(NCCNC(C%12=CC(OCCOCCOCCNC(N)=[NH2+])=C(OCCOCCOCCNC(N)=[NH2+])C(OCCOCCOCCNC(N)=[NH2+])=C%12)=O)=O)C)=O)=O)C(OC)=C2,COC1=CC(C(C)OC(=O)NCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c2)=C([N+](=O)[O-])CC1OCCCC(=O)NCc1cn(CCOCCOCCOc2c(OCCOCCOCCN3C=C(CNC(=O)CCCOc4cc([N+](=O)[O-])c(C(C)OC(=O)NCCNC(=O)c5cc(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c5)cc4OC)NN3)cc(C(=O)NCCOCCOCCNc3ccc([N+](=O)[O-])c4nonc34)cc2OCCOCCOCCn2cc(CNC(=O)CCCOc3cc([N+](=O)[O-])c(C(C)OC(=O)NCCNC(=O)c4cc(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c4)cc3OC)nn2)nn1,COC1=CC(C(C)OC(=O)NCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c2)=C([N+](=O)[O-])CC1OCCCC(=O)NCc1cn(CCOCCOCCOc2c(OCCOCCOCCN3C=C(CNC(=O)CCCOc4cc([N+](=O)[O-])c(C(C)OC(=O)NCCNC(=O)c5cc(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c5)cc4OC)NN3)cc(C(=O)NCCOCCOCCNc3ccc([N+](=O)[O-])c4nonc34)cc2OCCOCCOCCn2cc(CNC(=O)CCCOc3cc([N+](=O)[O-])c(C(C)OC(=O)NCCNC(=O)c4cc(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c4)cc3OC)nn2)nn1,UTYMOQGXNRNVMU-UHFFFAOYSA-N,UTYMOQGXNRNVMU-UHFFFAOYSA-N,False,4,True,,mgdb,MG-17,PCGlue-NBD
O=C(NC)[C@@H]([C@@H]1C2=CC=CC(Cl)=C2F)NC3(CCCCC3)[C@@]1(C4=CC=C(Cl)C=C4N5)C5=O,CNC(=O)C1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,CNC(=O)C1NC2(CCCCC2)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cccc(Cl)c1F,LHBZDASUSDFFIL-MQPQSNSUSA-N,LHBZDASUSDFFIL-UHFFFAOYSA-N,True,3,True,,mgdb,MG-18,MI-2103
O=C(NC1=C(CN(C2CCC(NC2=O)=O)C3=O)C3=CC=C1)[C@@H]([C@@H]4C5=CC=CC(Cl)=C5F)NC6(CCCCC6)[C@@]4(C7=CC=C(Cl)C=C7N8)C8=O,O=C1CCC(N2Cc3c(NC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(NC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,KQSXPGPHCYWVSH-OEVXPOQFSA-N,KQSXPGPHCYWVSH-UHFFFAOYSA-N,True,4,True,,mgdb,MG-19,MG-274
O=C(NCCCC1=C(CN(C2CCC(NC2=O)=O)C3=O)C3=CC=C1)[C@@H]([C@@H]4C5=CC=CC(Cl)=C5F)NC6(CCCCC6)[C@@]4(C7=CC=C(Cl)C=C7N8)C8=O,O=C1CCC(N2Cc3c(CCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,KNKHUJFFUZTHJK-HEOIAKHFSA-N,KNKHUJFFUZTHJK-UHFFFAOYSA-N,True,4,True,,mgdb,MG-20,MG-275
O=C(NCCCCC1=C(CN(C2CCC(NC2=O)=O)C3=O)C3=CC=C1)[C@@H]([C@@H]4C5=CC=CC(Cl)=C5F)NC6(CCCCC6)[C@@]4(C7=CC=C(Cl)C=C7N8)C8=O,O=C1CCC(N2Cc3c(CCCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,BARRRGHJVPGEOB-KUZQRZIPSA-N,BARRRGHJVPGEOB-UHFFFAOYSA-N,True,4,True,,mgdb,MG-21,MG-276
O=C(NCCCCCC1=C(CN(C2CCC(NC2=O)=O)C3=O)C3=CC=C1)[C@@H]([C@@H]4C5=CC=CC(Cl)=C5F)NC6(CCCCC6)[C@@]4(C7=CC=C(Cl)C=C7N8)C8=O,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,BANRYGZZIMCKNA-FLORGYBWSA-N,BANRYGZZIMCKNA-UHFFFAOYSA-N,True,4,True,,mgdb,MG-22,MG-277
C1CCC2(CC1)[C@@]3([C@H]([C@@H](N2)C(=O)NCCCCCC4=C5CN(C(=O)C5=CC=C4)C6CCC(=O)NC6=O)C7=C(C(=CC=C7)Cl)F)C8=C(C=C(C=C8)Cl)NC3=O,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,BANRYGZZIMCKNA-FLORGYBWSA-N,BANRYGZZIMCKNA-UHFFFAOYSA-N,True,4,True,,mgdb,MG-22,MG-277
C1CCC2(CC1)[C@@]3([C@H]([C@@H](N2)C(=O)NCCCCCC4=C5CN(C(=O)C5=CC=C4)C6CCC(=O)NC6=O)C7=C(C(=CC=C7)Cl)F)C8=C(C=C(C=C8)Cl)NC3=O,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,BANRYGZZIMCKNA-FLORGYBWSA-N,BANRYGZZIMCKNA-UHFFFAOYSA-N,True,4,True,,mgdb,MG-22,MG-277
C1CCC2(CC1)[C@@]3([C@H]([C@@H](N2)C(=O)NCCCCCC4=C5CN(C(=O)C5=CC=C4)C6CCC(=O)NC6=O)C7=C(C(=CC=C7)Cl)F)C8=C(C=C(C=C8)Cl)NC3=O,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,BANRYGZZIMCKNA-FLORGYBWSA-N,BANRYGZZIMCKNA-UHFFFAOYSA-N,True,4,True,,mgdb,MG-22,MG-277
O=C(NCCOCCCC1=C(CN(C2CCC(NC2=O)=O)C3=O)C3=CC=C1)[C@@H]([C@@H]4C5=CC=CC(Cl)=C5F)NC6(CCCCC6)[C@@]4(C7=CC=C(Cl)C=C7N8)C8=O,O=C1CCC(N2Cc3c(CCCOCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCOCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,XMJOGAYFUMUULD-FLORGYBWSA-N,XMJOGAYFUMUULD-UHFFFAOYSA-N,True,4,True,,mgdb,MG-23,MG-278
O=C(NCCOCCOCCCC1=C(CN(C2CCC(NC2=O)=O)C3=O)C3=CC=C1)[C@@H]([C@@H]4C5=CC=CC(Cl)=C5F)NC6(CCCCC6)[C@@]4(C7=CC=C(Cl)C=C7N8)C8=O,O=C1CCC(N2Cc3c(CCCOCCOCCNC(=O)C4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCOCCOCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,WKDUIOWFBZEINK-FEYVACJOSA-N,WKDUIOWFBZEINK-UHFFFAOYSA-N,True,4,True,,mgdb,MG-24,MG-279
