ID,name,Target,DOI,Patent number,Patent title,Efficacy Type,Model,Disease,Efficacy Data,Result,Units,Picture,Administration Time,Assay Method,Assay,Description
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,,,EC50,246,nM,NRX-1532-Binding,,,"In binding enhancement assays, the peptide concentrations were held constant at 107, 85, 10, 5, and 85nM for the pSer33/Ser37, pS33/S37A, pS33/S37C, pS33/S37F, and S33E/S37A peptides, respectively.Enhancement of pSer33/Ser37 β-catenin peptide binding to β-TrCP with increasing concentrations of NRX-1532. In each assay, the concentration of either β-TrCP or β-catenin was adjusted to obtain 20% binding saturation in the absence of compound. Shown is a representative experiment, values reported are averages","Further characterization of NRX-1532 confirmed that it enhances the pSer33/Ser37 β-catenin:β-TrCP interaction in a dose-dependent manner in the FP assay with a potency (EC50) of 206±54μM, as well as in orthogonal TR-FRET and SPR binding assays with similar EC50 values of 246±17μM and 129±33μM, respectively (Fig. 1d)."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,,,EC50,0.129,nM,NRX-1532-Binding,,,"In binding enhancement assays, the peptide concentrations were held constant at 107, 85, 10, 5, and 85nM for the pSer33/Ser37, pS33/S37A, pS33/S37C, pS33/S37F, and S33E/S37A peptides, respectively.Enhancement of pSer33/Ser37 β-catenin peptide binding to β-TrCP with increasing concentrations of NRX-1532. In each assay, the concentration of either β-TrCP or β-catenin was adjusted to obtain 20% binding saturation in the absence of compound. Shown is a representative experiment, values reported are averages","Further characterization of NRX-1532 confirmed that it enhances the pSer33/Ser37 β-catenin:β-TrCP interaction in a dose-dependent manner in the FP assay with a potency (EC50) of 206±54μM, as well as in orthogonal TR-FRET and SPR binding assays with similar EC50 values of 246±17μM and 129±33μM, respectively (Fig. 1d)."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/Ser37 β-catenin peptide,,KD,68,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/pSer37 β-catenin peptides,,KD,4.8,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/Ser37 β-catenin peptide,,KD,78.1,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/pSer37 β-catenin peptides,,KD,5.8,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/Ser37 β-catenin peptide,,KD,143,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/pSer37 β-catenin peptides,,KD,4.5,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/Ser37 β-catenin peptide,,KD,244,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/pSer37 β-catenin peptides,,KD,4.5,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/Ser37 β-catenin peptide,,KD,689,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,pSer33/pSer37 β-catenin peptides,,KD,4.8,nM,NRX-1532-binding2,,,"The binding affinities of the pSer33/Ser37 and pSer33/pSer37 β-catenin peptides for β-TrCP were measured in the TR-FRET assay by titrating BODIPY-FL-labeled β-catenin peptides (residues 17-48) against 300 pM β-TrCP at varying concentrations of NRX-1532. The binding curves for the pSer33/pSer37 β-catenin peptide titrations were fitted to one-site binding model. For the pSer33/Ser37 β-catenin peptide titrations, which do not reach saturation owing to limitations in the maximum amount of fluorophore compatible with this assay. Curves were fitted to the same one-site binding model, with the upper plateau constrained to that of the pSer33/pSer37 β-catenin peptide binding curve. The KDs are reported for both pSer33/Ser37 and pSer33/pSer37 β-catenin peptides","To determine the degree to which NRX-1532 enhances the binding affinity of β-TrCP for the monophosphorylated degron peptide (referred to as the cooperativity of compound binding), we monitored the binding affinity of β-catenin to the β-TrCP at increasing concentrations of compound (Fig. 2e). In a TR-FRET-based binding assay, NRX-1532 enhances the binding of pSer33/Ser37 β-catenin to β-TrCP with 10-fold cooperativity, increasing the binding affinity from 689nM in the absence of compound to 68nM at 500µM compound. The increase in binding affinity plateaus at high concentrations, indicating saturation of the NRX-1532:β-catenin:β-TrCP ternary complex formation. Importantly, the binding affinity of doubly-phosphorylated pSer33/pSer37 β-catenin to the β-TrCP was unaffected by the compound, implying that these enhancers are specific for β-catenin defective in Ser37 phosphorylation."
