Reference,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,Link,DOI
11,32690941,Structural insights into probe-dependent positive allosterism of the GLP-1 receptor,"Bueno AB, Sun B, Willard FS, Feng D, Ho JD, Wainscott DB, Showalter AD, Vieth M, Chen Q, Stutsman C, Chau B, Ficorilli J, Agejas FJ, Cumming GR, Jiménez A, Rojo I, Kobilka TS, Kobilka BK, Sloop KW.",Nat Chem Biol. 2020 Oct;16(10):1105-1110. doi: 10.1038/s41589-020-0589-7. Epub 2020 Jul 20.,Bueno AB,Nat Chem Biol,2020,2020-07-22,,https://doi.org/10.1038/s41589-020-0589-7,10.1038/s41589-020-0589-7
12,32747809,Rational discovery of molecular glue degraders via scalable chemical profiling,"Mayor-Ruiz C, Bauer S, Brand M, Kozicka Z, Siklos M, Imrichova H, Kaltheuner IH, Hahn E, Seiler K, Koren A, Petzold G, Fellner M, Bock C, Müller AC, Zuber J, Geyer M, Thomä NH, Kubicek S, Winter GE.",Nat Chem Biol. 2020 Nov;16(11):1199-1207. doi: 10.1038/s41589-020-0594-x. Epub 2020 Aug 3.,Mayor-Ruiz C,Nat Chem Biol,2020,2020-08-05,PMC7116640,https://doi.org/10.1038/s41589-020-0594-x,10.1038/s41589-020-0594-x
13,32804079,Discovery of a molecular glue promoting CDK12-DDB1 interaction to trigger cyclin K degradation,"Lv L, Chen P, Cao L, Li Y, Zeng Z, Cui Y, Wu Q, Li J, Wang JH, Dong MQ, Qi X, Han T.",Elife. 2020 Aug 17;9:e59994. doi: 10.7554/eLife.59994.,Lv L,Elife,2020,2020-08-18,PMC7462607,https://doi.org/10.7554/eLife.59994,10.7554/eLife.59994
14,32990304,Xanthophyll carotenoids stabilise the association of cyanobacterial chlorophyll synthase with the LHC-like protein HliD,"Proctor MS, Pazderník M, Jackson PJ, Pilný J, Martin EC, Dickman MJ, Canniffe DP, Johnson MP, Hunter CN, Sobotka R, Hitchcock A.",Biochem J. 2020 Oct 30;477(20):4021-4036. doi: 10.1042/BCJ20200561.,Proctor MS,Biochem J,2020,2020-09-29,,https://doi.org/10.1042/BCJ20200561,10.1042/BCJ20200561
15,33197925,"CC-90009, a novel cereblon E3 ligase modulator, targets acute myeloid leukemia blasts and leukemia stem cells","Surka C, Jin L, Mbong N, Lu CC, Jang IS, Rychak E, Mendy D, Clayton T, Tindall E, Hsu C, Fontanillo C, Tran E, Contreras A, Ng SWK, Matyskiela M, Wang K, Chamberlain P, Cathers B, Carmichael J, Hansen J, Wang JCY, Minden MD, Fan J, Pierce DW, Pourdehnad M, Rolfe M, Lopez-Girona A, Dick JE, Lu G.",Blood. 2021 Feb 4;137(5):661-677. doi: 10.1182/blood.2020008676.,Surka C,Blood,2021,2020-11-16,PMC8215192,https://doi.org/10.1182/blood.2020008676,10.1182/blood.2020008676
16,33206504,Cereblon Modulators Target ZBTB16 and Its Oncogenic Fusion Partners for Degradation via Distinct Structural Degrons,"Matyskiela ME, Zhu J, Baughman JM, Clayton T, Slade M, Wong HK, Danga K, Zheng X, Labow M, LeBrun L, Lu G, Chamberlain PP, Thompson JW.",ACS Chem Biol. 2020 Dec 18;15(12):3149-3158. doi: 10.1021/acschembio.0c00674. Epub 2020 Nov 18.,Matyskiela ME,ACS Chem Biol,2020,2020-11-18,,https://doi.org/10.1021/acschembio.0c00674,10.1021/acschembio.0c00674
17,33326750,Hypomorph mutation-directed small-molecule protein-protein interaction inducers to restore mutant SMAD4-suppressed TGF-β signaling,"Tang C, Mo X, Niu Q, Wahafu A, Yang X, Qui M, Ivanov AA, Du Y, Fu H.",Cell Chem Biol. 2021 May 20;28(5):636-647.e5. doi: 10.1016/j.chembiol.2020.11.010. Epub 2020 Dec 15.,Tang C,Cell Chem Biol,2021,2020-12-16,PMC10053325,https://doi.org/10.1016/j.chembiol.2020.11.010,10.1016/j.chembiol.2020.11.010
18,33387654,Biophysical and structural investigation of the regulation of human GTP cyclohydrolase I by its regulatory protein GFRP,"Ebenhoch R, Bauer M, Reinert D, Kersting A, Huber S, Schmid A, Hinz I, Feiler M, Müller K, Nar H.",J Struct Biol. 2021 Mar;213(1):107691. doi: 10.1016/j.jsb.2020.107691. Epub 2020 Dec 31.,Ebenhoch R,J Struct Biol,2021,2021-01-02,,https://doi.org/10.1016/j.jsb.2020.107691,10.1016/j.jsb.2020.107691
19,33417864,The Rise of Molecular Glues,Schreiber SL.,Cell. 2021 Jan 7;184(1):3-9. doi: 10.1016/j.cell.2020.12.020.,Schreiber SL,Cell,2021,2021-01-08,,https://doi.org/10.1016/j.cell.2020.12.020,10.1016/j.cell.2020.12.020
20,33676183,Cereblon modulator CC-885 induces CRBN-dependent ubiquitination and degradation of CDK4 in multiple myeloma,"Zhao M, Hu M, Chen Y, Liu H, Chen Y, Liu B, Fang B.",Biochem Biophys Res Commun. 2021 Apr 16;549:150-156. doi: 10.1016/j.bbrc.2021.02.110. Epub 2021 Mar 3.,Zhao M,Biochem Biophys Res Commun,2021,2021-03-06,,https://doi.org/10.1016/j.bbrc.2021.02.110,10.1016/j.bbrc.2021.02.110
21,33862513,Development of MDM2 degraders based on ligands derived from Ugi reactions: Lessons and discoveries,"Wang B, Liu J, Tandon I, Wu S, Teng P, Liao J, Tang W.",Eur J Med Chem. 2021 Jul 5;219:113425. doi: 10.1016/j.ejmech.2021.113425. Epub 2021 Apr 4.,Wang B,Eur J Med Chem,2021,2021-04-16,PMC8165035,https://doi.org/10.1016/j.ejmech.2021.113425,10.1016/j.ejmech.2021.113425
22,34047554,Reversible Covalent Imine-Tethering for Selective Stabilization of 14-3-3 Hub Protein Interactions,"Cossar PJ, Wolter M, van Dijck L, Valenti D, Levy LM, Ottmann C, Brunsveld L.",J Am Chem Soc. 2021 Jun 9;143(22):8454-8464. doi: 10.1021/jacs.1c03035. Epub 2021 May 28.,Cossar PJ,J Am Chem Soc,2021,2021-05-28,PMC8193639,https://doi.org/10.1021/jacs.1c03035,10.1021/jacs.1c03035
23,34076416,An Exploration of Chemical Properties Required for Cooperative Stabilization of the 14-3-3 Interaction with NF-κB-Utilizing a Reversible Covalent Tethering Approach,"Wolter M, Valenti D, Cossar PJ, Hristeva S, Levy LM, Genski T, Hoffmann T, Brunsveld L, Tzalis D, Ottmann C.",J Med Chem. 2021 Jun 24;64(12):8423-8436. doi: 10.1021/acs.jmedchem.1c00401. Epub 2021 Jun 2.,Wolter M,J Med Chem,2021,2021-06-02,PMC8237268,https://doi.org/10.1021/acs.jmedchem.1c00401,10.1021/acs.jmedchem.1c00401
24,34136078,Exploration of a 14-3-3 PPI Pocket by Covalent Fragments as Stabilizers,"Sijbesma E, Hallenbeck KK, Andrei SA, Rust RR, Adriaans JMC, Brunsveld L, Arkin MR, Ottmann C.",ACS Med Chem Lett. 2021 May 10;12(6):976-982. doi: 10.1021/acsmedchemlett.1c00088. eCollection 2021 Jun 10.,Sijbesma E,ACS Med Chem Lett,2021,2021-06-17,PMC8201753,https://doi.org/10.1021/acsmedchemlett.1c00088,10.1021/acsmedchemlett.1c00088
25,34289372,Degradation of CCNK/CDK12 is a druggable vulnerability of colorectal cancer,"Dieter SM, Siegl C, Codó PL, Huerta M, Ostermann-Parucha AL, Schulz E, Zowada MK, Martin S, Laaber K, Nowrouzi A, Blatter M, Kreth S, Westermann F, Benner A, Uhrig U, Putzker K, Lewis J, Haegebarth A, Mumberg D, Holton SJ, Weiske J, Toepper LM, Scheib U, Siemeister G, Ball CR, Kuster B, Stoehr G, Hahne H, Johannes S, Lange M, Herbst F, Glimm H.",Cell Rep. 2021 Jul 20;36(3):109394. doi: 10.1016/j.celrep.2021.109394.,Dieter SM,Cell Rep,2021,2021-07-21,,https://doi.org/10.1016/j.celrep.2021.109394,10.1016/j.celrep.2021.109394
26,34378936,Folate-Guided Protein Degradation by Immunomodulatory Imide Drug-Based Molecular Glues and Proteolysis Targeting Chimeras,"Chen H, Liu J, Kaniskan HÜ, Wei W, Jin J.",J Med Chem. 2021 Aug 26;64(16):12273-12285. doi: 10.1021/acs.jmedchem.1c00901. Epub 2021 Aug 11.,Chen H,J Med Chem,2021,2021-08-11,PMC8409242,https://doi.org/10.1021/acs.jmedchem.1c00901,10.1021/acs.jmedchem.1c00901
27,34417569,Merging PROTAC and molecular glue for degrading BTK and GSPT1 proteins concurrently,"Yang Z, Sun Y, Ni Z, Yang C, Tong Y, Liu Y, Li H, Rao Y.",Cell Res. 2021 Dec;31(12):1315-1318. doi: 10.1038/s41422-021-00533-6. Epub 2021 Aug 20.,Yang Z,Cell Res,2021,2021-08-21,PMC8648895,https://doi.org/10.1038/s41422-021-00533-6,10.1038/s41422-021-00533-6
28,34562363,Structural basis and regulation of the reductive stress response,"Manford AG, Mena EL, Shih KY, Gee CL, McMinimy R, Martínez-González B, Sherriff R, Lew B, Zoltek M, Rodríguez-Pérez F, Woldesenbet M, Kuriyan J, Rape M.",Cell. 2021 Oct 14;184(21):5375-5390.e16. doi: 10.1016/j.cell.2021.09.002. Epub 2021 Sep 24.,Manford AG,Cell,2021,2021-09-25,PMC8810291,https://doi.org/10.1016/j.cell.2021.09.002,10.1016/j.cell.2021.09.002
29,34705497,Identification and optimization of molecular glue compounds that inhibit a noncovalent E2 enzyme-ubiquitin complex,"St-Cyr D, Ceccarelli DF, Orlicky S, van der Sloot AM, Tang X, Kelso S, Moore S, James C, Posternak G, Coulombe-Huntington J, Bertomeu T, Marinier A, Sicheri F, Tyers M.",Sci Adv. 2021 Oct 29;7(44):eabi5797. doi: 10.1126/sciadv.abi5797. Epub 2021 Oct 27.,St-Cyr D,Sci Adv,2021,2021-10-27,PMC10763754,https://doi.org/10.1126/sciadv.abi5797,10.1126/sciadv.abi5797
30,34745529,Cooperative stabilisation of 14-3-3σ protein-protein interactions via covalent protein modification,"Falcicchio M, Ward JA, Chothia SY, Basran J, Mohindra A, Macip S, Roversi P, Doveston RG.",Chem Sci. 2021 Sep 6;12(39):12985-12992. doi: 10.1039/d1sc02120f. eCollection 2021 Oct 13.,Falcicchio M,Chem Sci,2021,2021-11-08,PMC8513901,https://doi.org/10.1039/d1sc02120f,10.1039/d1sc02120f
31,35604033,"FL118, acting as a 'molecular glue degrader', binds to dephosphorylates and degrades the oncoprotein DDX5 (p68) to control c-Myc, survivin and mutant Kras against colorectal and pancreatic cancer with high efficacy","Ling X, Wu W, Aljahdali IAM, Liao J, Santha S, Fountzilas C, Boland PM, Li F.",Clin Transl Med. 2022 May;12(5):e881. doi: 10.1002/ctm2.881.,Ling X,Clin Transl Med,2022,2022-05-23,PMC9126027,https://doi.org/10.1002/ctm2.881,10.1002/ctm2.881
32,35653645,Improved Binding Affinity and Pharmacokinetics Enable Sustained Degradation of BCL6 In Vivo,"Huckvale R, Harnden AC, Cheung KJ, Pierrat OA, Talbot R, Box GM, Henley AT, de Haven Brandon AK, Hallsworth AE, Bright MD, Akpinar HA, Miller DSJ, Tarantino D, Gowan S, Hayes A, Gunnell EA, Brennan A, Davis OA, Johnson LD, de Klerk S, McAndrew C, Le Bihan YV, Meniconi M, Burke R, Kirkin V, van Montfort RLM, Raynaud FI, Rossanese OW, Bellenie BR, Hoelder S.",J Med Chem. 2022 Jun 23;65(12):8191-8207. doi: 10.1021/acs.jmedchem.1c02175. Epub 2022 Jun 2.,Huckvale R,J Med Chem,2022,2022-06-02,PMC9234961,https://doi.org/10.1021/acs.jmedchem.1c02175,10.1021/acs.jmedchem.1c02175
33,35717803,Structure-activity relationship analysis of novel GSPT1 degraders based on benzotriazinone scaffold and its antitumor effect on xenograft mouse model,"Takwale AD, Kim EY, Jang Y, Lee DH, Kim S, Choi Y, Kim JH, Lee DY, Kim Y, Lee SM, Lee HK, Nam HJ, Lee JY, Cho JH, Moon JH, Lee GS, Kim JH, Kim P, Park CH, Hwang JY.",Bioorg Chem. 2022 Oct;127:105923. doi: 10.1016/j.bioorg.2022.105923. Epub 2022 Jun 13.,Takwale AD,Bioorg Chem,2022,2022-06-19,,https://doi.org/10.1016/j.bioorg.2022.105923,10.1016/j.bioorg.2022.105923
34,35749742,"3,5,7-Substituted Pyrazolo[4,3-d]Pyrimidine Inhibitors of Cyclin-Dependent Kinases and Cyclin K Degraders","Jorda R, Havlíček L, Peřina M, Vojáčková V, Pospíšil T, Djukic S, Škerlová J, Grúz J, Renešová N, Klener P, Řezáčová P, Strnad M, Kryštof V.",J Med Chem. 2022 Jul 14;65(13):8881-8896. doi: 10.1021/acs.jmedchem.1c02184. Epub 2022 Jun 24.,Jorda R,J Med Chem,2022,2022-06-24,,https://doi.org/10.1021/acs.jmedchem.1c02184,10.1021/acs.jmedchem.1c02184
35,35856839,Molecular Glues: The Adhesive Connecting Targeted Protein Degradation to the Clinic,"Sasso JM, Tenchov R, Wang D, Johnson LS, Wang X, Zhou QA.",Biochemistry. 2023 Feb 7;62(3):601-623. doi: 10.1021/acs.biochem.2c00245. Epub 2022 Jul 20.,Sasso JM,Biochemistry,2023,2022-07-20,PMC9910052,https://doi.org/10.1021/acs.biochem.2c00245,10.1021/acs.biochem.2c00245
36,35978691,SJPYT-195: A Designed Nuclear Receptor Degrader That Functions as a Molecular Glue Degrader of GSPT1,"Huber AD, Li Y, Lin W, Galbraith AN, Mishra A, Porter SN, Wu J, Florke Gee RR, Zhuang W, Pruett-Miller SM, Peng J, Chen T.",ACS Med Chem Lett. 2022 Jul 15;13(8):1311-1320. doi: 10.1021/acsmedchemlett.2c00223. eCollection 2022 Aug 11.,Huber AD,ACS Med Chem Lett,2022,2022-08-18,PMC9377019,https://doi.org/10.1021/acsmedchemlett.2c00223,10.1021/acsmedchemlett.2c00223
37,36007246,Redirecting the Neo-Substrate Specificity of Cereblon-Targeting PROTACs to Helios,"Verano AL, You I, Donovan KA, Mageed N, Yue H, Nowak RP, Fischer ES, Wang ES, Gray NS.",ACS Chem Biol. 2022 Sep 16;17(9):2404-2410. doi: 10.1021/acschembio.2c00439. Epub 2022 Aug 25.,Verano AL,ACS Chem Biol,2022,2022-08-25,,https://doi.org/10.1021/acschembio.2c00439,10.1021/acschembio.2c00439
38,36012359,UDP-Glucose: A Cereblon-Dependent Glucokinase Protein Degrader,"Cho J, Miyagawa A, Yamaguchi K, Abe W, Tsugawa Y, Yamamura H, Imai T.",Int J Mol Sci. 2022 Aug 13;23(16):9094. doi: 10.3390/ijms23169094.,Cho J,Int J Mol Sci,2022,2022-08-26,PMC9409010,https://doi.org/10.3390/ijms23169094,10.3390/ijms23169094
39,36375317,Atypical E3 ligase ZFP91 promotes small-molecule-induced E2F2 transcription factor degradation for cancer therapy,"Liu TT, Yang H, Zhuo FF, Yang Z, Zhao MM, Guo Q, Liu Y, Liu D, Zeng KW, Tu PF.",EBioMedicine. 2022 Dec;86:104353. doi: 10.1016/j.ebiom.2022.104353. Epub 2022 Nov 11.,Liu TT,EBioMedicine,2022,2022-11-14,PMC9667253,https://doi.org/10.1016/j.ebiom.2022.104353,10.1016/j.ebiom.2022.104353
40,36577036,"Physachenolide C is a Potent, Selective BET Inhibitor","Zerio CJ, Sivinski J, Wijeratne EMK, Xu YM, Ngo DT, Ambrose AJ, Villa-Celis L, Ghadirian N, Clarkson MW, Zhang DD, Horton NC, Gunatilaka AAL, Fromme R, Chapman E.",J Med Chem. 2023 Jan 12;66(1):913-933. doi: 10.1021/acs.jmedchem.2c01770. Epub 2022 Dec 28.,Zerio CJ,J Med Chem,2023,2022-12-28,,https://doi.org/10.1021/acs.jmedchem.2c01770,10.1021/acs.jmedchem.2c01770
41,36602777,E3-Specific Degrader Discovery by Dynamic Tracing of Substrate Receptor Abundance,"Hanzl A, Barone E, Bauer S, Yue H, Nowak RP, Hahn E, Pankevich EV, Koren A, Kubicek S, Fischer ES, Winter GE.",J Am Chem Soc. 2023 Jan 18;145(2):1176-1184. doi: 10.1021/jacs.2c10784. Epub 2023 Jan 5.,Hanzl A,J Am Chem Soc,2023,2023-01-05,PMC9853857,https://doi.org/10.1021/jacs.2c10784,10.1021/jacs.2c10784
42,36656921,CRISPR Screen Reveals BRD2/4 Molecular Glue-like Degrader via Recruitment of DCAF16,"Shergalis AG, Marin VL, Rhee DY, Senaweera S, McCloud RL, Ronau JA, Hutchins CW, McLoughlin S, Woller KR, Warder SE, Vasudevan A, Reitsma JM.",ACS Chem Biol. 2023 Feb 17;18(2):331-339. doi: 10.1021/acschembio.2c00747. Epub 2023 Jan 19.,Shergalis AG,ACS Chem Biol,2023,2023-01-19,,https://doi.org/10.1021/acschembio.2c00747,10.1021/acschembio.2c00747
43,36744954,The Drug-Induced Interface That Drives HIV-1 Integrase Hypermultimerization and Loss of Function,"Singer MR, Dinh T, Levintov L, Annamalai AS, Rey JS, Briganti L, Cook NJ, Pye VE, Taylor IA, Kim K, Engelman AN, Kim B, Perilla JR, Kvaratskhelia M, Cherepanov P.",mBio. 2023 Feb 28;14(1):e0356022. doi: 10.1128/mbio.03560-22. Epub 2023 Feb 6.,Singer MR,mBio,2023,2023-02-06,PMC9973045,https://doi.org/10.1128/mbio.03560-22,10.1128/mbio.03560-22
44,36805336,The aryl sulfonamide indisulam inhibits gastric cancer cell migration by promoting the ubiquitination and degradation of the transcription factor ZEB1,"Lu J, Li D, Jiang H, Li Y, Lu C, Chen T, Wang Y, Wang X, Sun W, Pu Z, Qiao C, Ma J, Xu G.",J Biol Chem. 2023 Apr;299(4):103025. doi: 10.1016/j.jbc.2023.103025. Epub 2023 Feb 15.,Lu J,J Biol Chem,2023,2023-02-22,PMC10040736,https://doi.org/10.1016/j.jbc.2023.103025,10.1016/j.jbc.2023.103025
45,36824856,Template-assisted covalent modification of DCAF16 underlies activity of BRD4 molecular glue degraders,"Li YD, Ma MW, Hassan MM, Hunkeler M, Teng M, Puvar K, Lumpkin R, Sandoval B, Jin CY, Ficarro SB, Wang MY, Xu S, Groendyke BJ, Sigua LH, Tavares I, Zou C, Tsai JM, Park PMC, Yoon H, Majewski FC, Marto JA, Qi J, Nowak RP, Donovan KA, Słabicki M, Gray NS, Fischer ES, Ebert BL.",bioRxiv [Preprint]. 2023 Feb 15:2023.02.14.528208. doi: 10.1101/2023.02.14.528208.,Li YD,bioRxiv,2023,2023-02-24,PMC9949066,https://doi.org/10.1101/2023.02.14.528208,10.1101/2023.02.14.528208
46,36831540,Targeted Degradation of Androgen Receptor by VNPP433-3β in Castration-Resistant Prostate Cancer Cells Implicates Interaction with E3 Ligase MDM2 Resulting in Ubiquitin-Proteasomal Degradation,"Thomas E, Thankan RS, Purushottamachar P, Weber DJ, Njar VCO.",Cancers (Basel). 2023 Feb 14;15(4):1198. doi: 10.3390/cancers15041198.,Thomas E,Cancers (Basel),2023,2023-02-25,PMC9954018,https://doi.org/10.3390/cancers15041198,10.3390/cancers15041198
47,36863346,Discovery and characterization of a selective IKZF2 glue degrader for cancer immunotherapy,"Bonazzi S, d'Hennezel E, Beckwith REJ, Xu L, Fazal A, Magracheva A, Ramesh R, Cernijenko A, Antonakos B, Bhang HC, Caro RG, Cobb JS, Ornelas E, Ma X, Wartchow CA, Clifton MC, Forseth RR, Fortnam BH, Lu H, Csibi A, Tullai J, Carbonneau S, Thomsen NM, Larrow J, Chie-Leon B, Hainzl D, Gu Y, Lu D, Meyer MJ, Alexander D, Kinyamu-Akunda J, Sabatos-Peyton CA, Dales NA, Zécri FJ, Jain RK, Shulok J, Wang YK, Briner K, Porter JA, Tallarico JA, Engelman JA, Dranoff G, Bradner JE, Visser M, Solomon JM.",Cell Chem Biol. 2023 Mar 16;30(3):235-247.e12. doi: 10.1016/j.chembiol.2023.02.005. Epub 2023 Mar 1.,Bonazzi S,Cell Chem Biol,2023,2023-03-02,,https://doi.org/10.1016/j.chembiol.2023.02.005,10.1016/j.chembiol.2023.02.005
48,36176907,Molecular glues modulate protein functions by inducing protein aggregation: A promising therapeutic strategy of small molecules for disease treatment,"Wu H, Yao H, He C, Jia Y, Zhu Z, Xu S, Li D, Xu J.",Acta Pharm Sin B. 2022 Sep;12(9):3548-3566. doi: 10.1016/j.apsb.2022.03.019. Epub 2022 Mar 31.,Wu H,Acta Pharm Sin B,2022,2022-09-30,PMC9513498,https://doi.org/10.1016/j.apsb.2022.03.019,10.1016/j.apsb.2022.03.019
49,36898369,Chemoproteomics-enabled discovery of a covalent molecular glue degrader targeting NF-κB,"King EA, Cho Y, Hsu NS, Dovala D, McKenna JM, Tallarico JA, Schirle M, Nomura DK.",Cell Chem Biol. 2023 Apr 20;30(4):394-402.e9. doi: 10.1016/j.chembiol.2023.02.008. Epub 2023 Mar 9.,King EA,Cell Chem Biol,2023,2023-03-10,PMC10121878,https://doi.org/10.1016/j.chembiol.2023.02.008,10.1016/j.chembiol.2023.02.008
50,36908699,"Protein-protein interfaces in molecular glue-induced ternary complexes: classification, characterization, and prediction","Rui H, Ashton KS, Min J, Wang C, Potts PR.",RSC Chem Biol. 2023 Jan 3;4(3):192-215. doi: 10.1039/d2cb00207h. eCollection 2023 Mar 8.,Rui H,RSC Chem Biol,2023,2023-03-13,PMC9994104,https://doi.org/10.1039/d2cb00207h,10.1039/d2cb00207h
51,36895136,Novel approaches to targeted protein degradation technologies in drug discovery,"Xue Y, Bolinger AA, Zhou J.",Expert Opin Drug Discov. 2023 Apr;18(4):467-483. doi: 10.1080/17460441.2023.2187777. Epub 2023 Mar 9.,Xue Y,Expert Opin Drug Discov,2023,2023-03-10,PMC11089573,https://doi.org/10.1080/17460441.2023.2187777,10.1080/17460441.2023.2187777
52,36908700,Accessing three-branched high-affinity cereblon ligands for molecular glue and protein degrader design,"Kuchta R, Heim C, Herrmann A, Maiwald S, Ng YLD, Sosič I, Keuler T, Krönke J, Gütschow M, Hartmann MD, Steinebach C.",RSC Chem Biol. 2023 Jan 3;4(3):229-234. doi: 10.1039/d2cb00223j. eCollection 2023 Mar 8.,Kuchta R,RSC Chem Biol,2023,2023-03-13,PMC9994103,https://doi.org/10.1039/d2cb00223j,10.1039/d2cb00223j
53,36926879,Reversible Dual-Covalent Molecular Locking of the 14-3-3/ERRγ Protein-Protein Interaction as a Molecular Glue Drug Discovery Approach,"Somsen BA, Schellekens RJC, Verhoef CJA, Arkin MR, Ottmann C, Cossar PJ, Brunsveld L.",J Am Chem Soc. 2023 Mar 29;145(12):6741-6752. doi: 10.1021/jacs.2c12781. Epub 2023 Mar 16.,Somsen BA,J Am Chem Soc,2023,2023-03-17,PMC10064330,https://doi.org/10.1021/jacs.2c12781,10.1021/jacs.2c12781
54,36931248,Shining light on reprogramming Tregs for cancer therapy,"Wang ES, Gray NS.",Cell Chem Biol. 2023 Mar 16;30(3):231-233. doi: 10.1016/j.chembiol.2023.02.009.,Wang ES,Cell Chem Biol,2023,2023-03-17,,https://doi.org/10.1016/j.chembiol.2023.02.009,10.1016/j.chembiol.2023.02.009
