compound_id,smiles,Score_3D
ZINC_V8_27067,CC(C)[C@@H]1N[C@@H](O)[C@H](C(C)C)N[C@H]1O,0.4408256
ZINC_V8_2233,C/C=C/COCC(CC)(CC)CS,0.4408252
ZINC_V8_24949,CC[NH+](CC(C)C)C[C@@H]([NH3+])C(C)(C)C,0.44082505
ZINC_V8_4786,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,0.44082502
ZINC_V8_26788,CCC[NH+]1C[C@@H](C)C[C@H](C)C1,0.44082397
ZINC_V8_49282,C=C(SCC)/C(=N/C)SC,0.44082388
ZINC_V8_37379,OC1CCC(/C=C\C2C[C@@H](O)C[C@@H](O)C2)CC1,0.44082376
ZINC_V8_15894,CC1([C@@]2(C)C[C@@H]2C(=O)[O-])CC1,0.44082367
ZINC_V8_45207,OC1[C@H]2OC3(CCCCC3)O[C@@H]2C(O)[C@@H]2OC3(CCCCC3)O[C@H]12,0.44082347
ZINC_V8_42896,COC1=CS(=O)(=O)C=C1OC,0.44082335
ZINC_V8_45089,ClCC[NH+]1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1,0.44082296
ZINC_V8_30248,CCC[C@H]([NH2+]C)C(OC)OC,0.44082293
ZINC_V8_1930,CC(C)[C@@H](C[NH+](C)C)C(=O)[O-],0.44082287
ZINC_V8_6545,CCC(CC)[C@H]1CCCCC[C@@H]1[NH2+]C,0.44082284
ZINC_V8_6539,CC(C)(C)[C@]1(C(F)(F)C(F)(F)F)CCC[NH2+]1,0.4408226
ZINC_V8_9514,CC(C)C[NH+](C(C)C)[C@@]1(CN)CSCC(C)(C)C1,0.4408225
ZINC_V8_3590,CC1CC[NH+](C2[C@H]3C[NH2+]C[C@@H]23)CC1,0.4408223
ZINC_V8_4465,OC[C@@H](Br)C(F)(F)Br,0.4408219
ZINC_V8_4914,CCC1(CC)CC[NH+](CCCCS)CC1,0.44082177
ZINC_V8_43428,CC[C@@H](CC[NH3+])[NH+]1C[C@@H](C)[C@H](C)C1,0.44082162
ZINC_V8_29897,Brc1nccc2nccnc12,0.44082147
ZINC_V8_15345,C[C@@H](Cl)C1CCCCCC1,0.44082135
ZINC_V8_14267,CCC[C@@]1(C=O)NC(=O)NC1=O,0.4408211
ZINC_V8_14035,CCC(C)(C)OC[C@H](CS)C(C)(C)C,0.44082102
ZINC_V8_48168,C[C@H]1CCC[C@H](C)C1[NH2+]C1CCC(O)CC1,0.44082093
ZINC_V8_41292,CCC(C)(C)[NH+](C)CCC(C)(C)O,0.44082078
ZINC_V8_40264,O=[N+]([O-])C12CN3CCN(C[NH+](C3)C1)C2,0.44082063
ZINC_V8_39520,CC[NH2+][C@@H](C(C)C)[C@](C)(CC)[NH+]1CCCCC1,0.4408206
ZINC_V8_31861,CC(C)[C@@H](C)[NH2+]CC[C@@H](C)[S@](C)=O,0.44082052
ZINC_V8_7161,CCC[C@@H](C)[C@H](O)[C@H](C#N)CC,0.44082052
ZINC_V8_23838,COC[C@@H]1O[C@@H](O)[C@@H](OC)[C@@H](OC)[C@@H]1OC,0.44082034
ZINC_V8_46397,CC(C)(C)C[NH2+]CC1C(C)(C)C1(C)C,0.44082022
ZINC_V8_45932,Fc1cc(F)c(F)c(I)c1,0.44082013
ZINC_V8_15162,O=C1[C@@H]2CC3C[C@H]1CC(Br)(C3)C2,0.44082013
ZINC_V8_47887,C[C@H]([C@@H]1CC[C@H](C)[C@@H](C)C1)[C@@H](C)[NH3+],0.44082013
ZINC_V8_33901,N#CC(C#N)=C(c1ccccc1)c1ccccc1,0.44082004
ZINC_V8_25584,CC[NH2+]C[C@H](CC(C)C)[C@H](C)CC,0.44081986
ZINC_V8_27743,CCS[C@H]1CC[C@H]([NH2+]C)C1,0.44081986
ZINC_V8_29193,CCC[NH2+][C@H](C(C)C)C(C)(C)[NH+](C)C,0.44081977
ZINC_V8_41922,COc1cc(C)[n+](C)c(C)c1,0.44081977
ZINC_V8_32687,CC(C)[C@H](CC[C@H](C)C(=O)[O-])C(=O)[O-],0.44081962
ZINC_V8_24208,CC1(C)OC(=O)C(Br)(Br)C(=O)O1,0.4408195
ZINC_V8_13395,c1ccc(Oc2ncccn2)cc1,0.44081935
ZINC_V8_21418,N#CNC(=O)[C@@H]1CCCCC[C@@H]1[NH3+],0.44081935
ZINC_V8_5086,O=C([O-])CCC12CC3CC(CC(C3)C1)C2,0.4408192
ZINC_V8_38442,CCOC(=O)C(C(=O)OCC)C(C)(C)C,0.4408191
ZINC_V8_26291,COC(=O)/C=C\CCC(=O)OC,0.44081908
ZINC_V8_11410,COC(=O)[C@@H](C)[C@@H](C)S(=O)(=O)C(C)C,0.44081888
ZINC_V8_8849,CN(C)C(=S)SCC(N)=O,0.44081876
ZINC_V8_21794,C1C[NH2+][C@H]([C@H]2CCC[C@@H]2[NH2+]CC[NH+]2CCCC2)C1,0.4408187
ZINC_V8_15630,C[NH2+][C@H](C1CCCCC1)C(OC)OC,0.44081867
ZINC_V8_5118,CC[C@@H](C)N1C(=O)C=CC1=O,0.4408186
ZINC_V8_13263,C[C@H]1C[NH+](CCC(=O)[O-])C[C@@H]1C,0.44081846
ZINC_V8_36737,CCC(CC)C1(C[NH2+]C)CCCC1,0.4408182
ZINC_V8_3436,CC[NH+](CC)[C@@](C)(CC)[C@@H](C)O,0.44081795
ZINC_V8_7501,O=S1(=O)C[C@@H]2NC(=S)N(O)[C@H]2C1,0.44081777
ZINC_V8_23560,Cc1ccc(P(C)(=O)c2ccc(C)cc2)cc1,0.44081774
ZINC_V8_49706,C[NH2+][C@@H]1[C@H](SC(C)C)CCC1(C)C,0.4408176
ZINC_V8_11891,CCc1[nH]nc(C[NH2+]C)c1C,0.4408176
ZINC_V8_23700,O=S1(=O)CCCN1CCCCCCS,0.44081753
ZINC_V8_17340,CC1(C)CC[C@@H]([NH+]2CCCCCCC2)[C@H]1[NH3+],0.44081753
ZINC_V8_1383,SCCCCn1cc[nH+]c1,0.44081745
ZINC_V8_8987,CC(C)c1n[nH]c(=S)n1C,0.44081736
ZINC_V8_6199,CC(C)[NH+](C)CCOCC[NH3+],0.44081727
ZINC_V8_36604,NC(=S)S/C=C/C(=O)[O-],0.44081727
ZINC_V8_8114,Clc1cscc1-c1cscc1Cl,0.44081718
ZINC_V8_47096,O=C(Cl)C1CCSCC1,0.44081712
ZINC_V8_30596,N#CC1=C[C@@H](Br)[C@@]23CC12[C@@H](Br)C=C3C#N,0.44081643
ZINC_V8_14518,O=[N+]([O-])c1cc(I)cc([N+](=O)[O-])c1,0.44081637
ZINC_V8_31191,C#CCC[C@@H]([NH3+])CCC(F)(F)F,0.44081634
ZINC_V8_38139,CC[NH2+][C@@H](CC)[C@H]1CCCS(=O)(=O)C1,0.44081634
ZINC_V8_42600,C[NH+](C)C[C@H](N)CCC(F)(F)F,0.44081625
ZINC_V8_7615,OC[C@H]1CCC[NH+]1C1CCCCCCC1,0.4408162
ZINC_V8_40758,CC(C)[C@H]1CCC[C@H]([C@@H](C)O)CC1,0.44081616
ZINC_V8_7051,CS(=O)(=O)CCSCCCS,0.44081616
ZINC_V8_10669,C[NH2+]CC/C=C/C[C@H]1C[C@H]2CC[C@@H]1C2,0.4408161
ZINC_V8_21113,CCCCN(C)C(=O)CC[NH3+],0.44081607
ZINC_V8_7656,CC[C@](C)([C@H](O)C(C)(C)C)[NH+]1CCCCC1,0.44081575
ZINC_V8_20235,CC(C)CCCOC/C=C/CS,0.4408157
ZINC_V8_18285,O=C1NC(=O)C(F)(F)[C@@H](O)N1,0.44081566
ZINC_V8_27531,N#CC(Br)(c1ccccc1)c1ccccc1,0.44081566
ZINC_V8_5584,C[NH2+]C[C@H](C)[C@H](C)[NH+](C)CC(C)(C)C,0.44081566
ZINC_V8_23579,CC(C)[C@H](CO)NS(=O)(=O)C(C)C,0.44081554
ZINC_V8_28887,CC(C)(C)C[NH2+][C@@H]1CCNC1,0.4408155
ZINC_V8_21967,C[NH2+][C@]1(C(=O)[O-])CCCCC1(C)C,0.44081542
ZINC_V8_7939,ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,0.44081524
ZINC_V8_19184,O=C(C[n+]1ccccc1)NO,0.44081524
ZINC_V8_24145,CS(=O)(=O)CS(=O)(=O)OCCCl,0.44081476
ZINC_V8_19060,CO[C@H](C)[C@H](Br)C(=O)[O-],0.4408146
ZINC_V8_45035,C[NH2+][C@@H](COC)C1CCC(C(C)C)CC1,0.44081458
ZINC_V8_45444,C[C@@H]1CCC[C@@H]2CCCSC[NH+]21,0.44081458
ZINC_V8_24719,C[C@@H]1CC[NH+](C/C=C/CS)C1,0.44081435
ZINC_V8_26179,CC(C)[NH2+]C[C@H](C)[NH+]1C[C@H](C)[C@@H](C)C1,0.44081426
ZINC_V8_3542,CCC(CC)[C@@H](C(=O)OC)C(=O)C(C)C,0.44081426
ZINC_V8_47460,CC[C@H](C(C)C)[C@](C)(O)C(=O)[O-],0.4408142
ZINC_V8_29892,C[C@@H]1CCC[C@@]2(C)CCCC[C@]12O,0.44081417
ZINC_V8_2281,CCC(CC)C(=O)[C@H](C)OC,0.4408141
ZINC_V8_45197,CN(C)c1ccc(Nc2ccc(N(C)C)cc2)cc1,0.4408141
ZINC_V8_30272,CCNC(=O)CNC(=O)NNC(=O)C(C)(C)C,0.44081393
ZINC_V8_36986,[NH3+][C@@H](C(=O)[O-])c1ccc(C(=O)[O-])cc1,0.44081393
ZINC_V8_49742,O=c1ccc(SC(F)(F)F)c[nH]1,0.4408139
ZINC_V8_42874,CCC[NH2+][C@@H](C(C)(C)C)[C@](C)(CC)[NH+](C)C,0.44081384
ZINC_V8_39718,C[C@H]1CCCC[NH+]1[C@@H]1CC[C@H](O)C1,0.44081378
ZINC_V8_49816,C[C@H]1[C@@H]([NH2+][C@@H]2CCNC2)CC[C@@H]1C,0.44081366
ZINC_V8_20984,C[C@H]1CCC[NH+](CCCC[NH3+])C1,0.44081366
ZINC_V8_210,CCC(CC)[S@](=O)CCC(=O)[O-],0.4408136
ZINC_V8_25930,c1ccc([C@@H]2[C@@H](c3ccccc3)[n+]3ccccc3-c3cccc[n+]32)cc1,0.44081324
ZINC_V8_44267,CCC(CC)[C@H](CNC(C)=O)[NH+](C)C,0.44081324
ZINC_V8_25787,C[C@@H](C[NH2+]C1CCSCC1)[NH+]1CCCC1,0.44081306
ZINC_V8_7952,CC(C)[C@@H](CCOCCO)[C@@H](C)O,0.440813
ZINC_V8_5413,S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,0.44081295
ZINC_V8_18154,CC(C)(C#N)Sc1ccccc1,0.44081292
ZINC_V8_35977,O=S1(=O)CC[C@@H](S(=O)(=O)N[C@H]2CCCO2)C1,0.44081292
ZINC_V8_44135,[NH3+]CCCCNC(=S)[S-],0.44081283
ZINC_V8_38986,CC1(C)CCC(CCCO)(C(=O)[O-])CC1,0.44081277
ZINC_V8_49557,CC1(C)C[C@]2(C[C@H]2C[NH3+])C(C)(C)O1,0.44081277
ZINC_V8_14736,C1CC2(C1)CN(C1[C@H]3C[NH2+]C[C@@H]13)C2,0.44081268
ZINC_V8_17614,CC(C)[C@@H]1CS(=O)(=O)CC[C@H](C)[NH2+]1,0.44081265
ZINC_V8_9791,CC[NH2+][C@H]1CC[C@@H]([NH+]2CCCC2(C)C)C1,0.44081265
ZINC_V8_20630,Cc1c(C)c(O)c(C(=O)Cl)c(C)c1O,0.4408126
ZINC_V8_8841,CC(C)(O)CC[NH2+]CC(=O)[O-],0.44081244
ZINC_V8_3056,CCC[NH2+]CC[NH+](C)CC(C)(C)O,0.44081244
ZINC_V8_28437,O=S1(=O)CC[C@@H](C2(O)[C@@H]3CCC[C@@H]32)C1,0.44081235
ZINC_V8_1630,CC[NH+](CC)C[C@H]1CC[NH2+]C1,0.44081235
ZINC_V8_6449,CC(C)C1C[NH+](C[C@H]([NH3+])[C@H](C)O)C1,0.4408121
ZINC_V8_7945,CCC[NH2+][C@@H]1CC[C@@H](C(CC)CC)C1,0.44081208
ZINC_V8_36055,CCC(CC)(CS)C[NH+]1CCCSCC1,0.44081208
ZINC_V8_39122,COC(=O)/C=C/C=C/C=C(\C)C(=O)OC,0.44081202
ZINC_V8_16346,[NH3+]C[C@@H]1CCCC[C@H]1[NH+]1CCCCC1,0.440812
ZINC_V8_34657,CCC(CC)[NH+](CC)C[C@@H](C)C#N,0.440812
ZINC_V8_44165,CC[C@H](C)[C@H]1CC[C@H]([NH2+]C)C1,0.44081193
ZINC_V8_37399,C[C@H](CO)CSC[C@H](N)C#N,0.4408117
ZINC_V8_11601,CCN(CC)C(=O)[C@H]([NH3+])C(C)C,0.4408117
ZINC_V8_30813,CC[C@@H](C)C[NH+](CC)CCC(C)=O,0.44081166
ZINC_V8_25988,O=C([O-])C(Cl)(c1ccccc1)c1ccccc1,0.44081134
ZINC_V8_5773,CCC(CC)(NC(=O)CS[C@H]1CCS(=O)(=O)C1)C(=O)[O-],0.44081134
ZINC_V8_21190,CC(C)[C@@H]1C[S@](=O)[C@@H](C)C[NH2+]1,0.44081125
ZINC_V8_18748,C[NH+]1CCC([C@@H]2CCC[NH2+]2)CC1,0.44081125
ZINC_V8_1881,CCC[C@H]1CCC[NH+](CCCS)CC1,0.4408111
ZINC_V8_7555,C[NH2+][C@H]1CC[C@@H](N2CCC([NH+](C)C)CC2)C1,0.44081107
ZINC_V8_23738,C[C@@H]1C[C@H]([NH2+]CC2C(C)(C)C2(C)C)CS1,0.44081107
ZINC_V8_8001,C=CC(=O)N[C@@H](OC)C(=O)OC,0.44081107
ZINC_V8_3099,CCCC12C[C@@H]3C[C@@H](CC([NH3+])(C3)C1)C2,0.44081098
ZINC_V8_21849,CNC(=S)NS(=O)(=O)[C@H]1CCS(=O)(=O)C1,0.44081086
ZINC_V8_18600,COC(=O)N(C)CC1CC[NH2+]CC1,0.44081083
ZINC_V8_30374,OCc1ccc(C[NH2+]C2CC2)cc1,0.44081077
ZINC_V8_49738,CC[C@H]1CCC[NH+](CCC(C)(C)O)C1,0.44081074
ZINC_V8_13485,C[C@@H]1C[NH2+]CCN1CC(F)(F)F,0.44081065
ZINC_V8_11318,CC(C)CC1(CCOC(C)C)C[NH2+]C1,0.4408106
ZINC_V8_45084,C[C@@H]1CC[NH+]1[C@@H]1CCC[C@@H]1C(=O)[O-],0.4408106
ZINC_V8_4071,CCSc1nnc(NC)s1,0.44081056
ZINC_V8_22973,Cn1cnc(Cl)c1Cl,0.4408104
ZINC_V8_31814,CN1C(=O)C(=Cc2ccc(C=C3C(=O)N(C)C(=O)N(C)C3=O)cc2)C(=O)N(C)C1=O,0.44081032
ZINC_V8_13864,O=CNc1ccc(Br)cc1,0.44081032
ZINC_V8_44583,CC[C@@H](C)C1(C[NH2+]C(C)C)CC1,0.44081026
ZINC_V8_38185,CCC[NH+](C)CC(C)(C)[C@@H](C)[NH2+]C,0.44081026
ZINC_V8_44708,COC(=O)C[C@@H](C=O)C(=O)OC,0.44081023
ZINC_V8_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,0.44081017
ZINC_V8_37337,CC(=O)NC1(C#N)CCCC1,0.44081014
ZINC_V8_32621,C[C@@H]1CCC[NH+]([C@@H]2CC[C@H](O)C2)C1,0.44081008
ZINC_V8_7475,C[C@H]([C@@H](C)O)[NH+]1CC[C@@](C)(C(=O)[O-])C1,0.44081002
ZINC_V8_21027,CS(=O)(=O)[C@@H]1CCC[C@H]([NH2+]C2CC2)C1,0.44081002
ZINC_V8_23227,CC[C@@H]1C[NH2+]CCN1C1C(C)(C)C1(C)C,0.4408099
ZINC_V8_36908,C[NH2+]C[C@@H](C)C(=O)NC[C@@H](C)C#N,0.44080985
ZINC_V8_8949,CC1(C)CCC(O)(C[NH2+][C@@H]2CSCCC2(C)C)CC1,0.44080982
ZINC_V8_9840,C[C@H](C(=O)[O-])[C@@H](C)[NH+](C)CCC[NH+](C)C,0.44080976
ZINC_V8_38317,CN(C)C(/[NH+]=c1/nc(N(C)C)ss1)=[N+](C)C,0.44080976
ZINC_V8_19554,CN(C)C(=O)CC[NH+]1C[C@@H](O)[C@@H](O)C1,0.44080967
ZINC_V8_48277,Nc1ccc(/C=C\c2ccccc2)cc1,0.44080958
ZINC_V8_10425,C=C(C)[C@H](CC(F)(F)F)[NH2+]CC,0.4408095
ZINC_V8_2979,CSCCc1ccc(N)cc1,0.4408095
ZINC_V8_3636,FC(F)(Cl)Oc1ccccc1,0.44080943
ZINC_V8_16884,C1CC[C@@H]2S[C@@H]3CCCC[C@H]3N=C2C1,0.4408094
ZINC_V8_31788,CC(C)OC(=O)[C@H]1CCC[NH+]1C(C)C,0.44080934
ZINC_V8_3039,C[NH2+][C@H](COC(C)C)c1ncccn1,0.4408093
ZINC_V8_25454,CC1(C)CCC[C@@H]1[C@@H]1CC[NH2+]C1,0.4408093
ZINC_V8_9837,O=C([O-])CC1(C(=O)[O-])CCCCCC1,0.44080925
ZINC_V8_14507,CC(C)NC(=O)C[N+]12CC[N+](CC(=O)NC(C)C)(CC1)CC2,0.440809
ZINC_V8_15175,Cc1ccccc1C(c1ccccc1C)[n+]1ccccc1,0.44080892
ZINC_V8_33041,C[NH2+]Cc1c(C)nn(C(C)C)c1C,0.44080883
ZINC_V8_5318,Cc1c[n+]([O-])cc(C[n+]2ccccc2)[n+]1[O-],0.4408088
ZINC_V8_36783,CC[NH2+][C@H]1CCC[C@H](OCC)C1,0.44080874
ZINC_V8_48963,N#CCCCC[NH+]1CC2(CCCCC2)C1,0.44080874
ZINC_V8_75,O=C(N[C@H]1CCS(=O)(=O)C1)C1CC[NH2+]CC1,0.4408086
ZINC_V8_43815,CC[NH2+]C(C)(C)C(=O)N[C@@](C)(C(=O)[O-])C(F)(F)F,0.44080856
ZINC_V8_14209,CC[C@H]1C[NH2+]CCC12CCC2,0.44080856
ZINC_V8_10983,C[C@H](C(=O)CC(C)(C)C)[C@@H](C)C(=O)[O-],0.4408085
ZINC_V8_27324,Fc1ccc(C=NNC(=S)N/N=C/c2ccc(F)cc2)cc1,0.44080848
ZINC_V8_38602,C(=Nn1cnnc1)c1ccccc1,0.44080848
ZINC_V8_23997,COc1ccc(S(=O)c2ccc(OC)cc2)cc1,0.44080842
ZINC_V8_49308,c1ccc2c(c1)OCC[NH+]1CCOCCOCC[NH+](CCOCCOCC1)CCO2,0.4408084
ZINC_V8_18553,C[C@@H]1CC[NH+](CC[C@@H]2CCC[C@@H]2[NH3+])C1,0.44080827
ZINC_V8_37826,C/C(=N\O)[C@H]1C[C@@H]2C=C[C@H]1C2,0.44080824
ZINC_V8_25194,O=C([O-])CCC1CCC(O)CC1,0.44080818
ZINC_V8_42507,CCCC1CC[NH+]([C@H](C)[C@H](C)C[NH2+]C2CC2)CC1,0.4408081
ZINC_V8_45246,COC(=O)[C@H]1[C@@H]([NH3+])[C@@H]2C=C[C@H]1O2,0.4408081
ZINC_V8_46204,OCc1cc(I)cc(CO)n1,0.4408081
ZINC_V8_5327,CCC[NH2+][C@@H](C)c1ccc(SCC(C)C)cc1,0.44080797
ZINC_V8_821,O=Cc1ccn(-c2ccc(Br)cc2)c1,0.44080797
ZINC_V8_38330,CC(C)[NH2+]C[C@H]1C[C@@H]2C=C[C@H]1C2,0.4408079
ZINC_V8_10835,N#CCSC1[NH+]=c2ccccc2=[NH+]1,0.4408079
ZINC_V8_49310,C=C(C)C[C@H]([NH3+])CS[C@@H](C)CC,0.4408079
ZINC_V8_24902,CC(C)(C)NC1=CC(=O)OC1,0.44080785
ZINC_V8_21689,C/C=C(/C)C(=O)N(C)[C@H](C)[C@H](C)S(C)(=O)=O,0.44080782
ZINC_V8_36041,CN(C)[C@@H]1CCC[NH+](CCC(C)(C)O)C1,0.44080773
ZINC_V8_43848,[NH3+][C@@H]1CCCCC[C@H]1C(=O)NCC(=O)[O-],0.44080767
ZINC_V8_19095,CCOC(=O)C#CC(OCC)OCC,0.44080758
ZINC_V8_11866,[NH3+][C@H]1CCCCC[C@@H]1C(=O)NCC1CCC1,0.4408073
ZINC_V8_17118,CC(C)[C@@H](C[NH3+])N(C)CCS(C)(=O)=O,0.44080725
ZINC_V8_29679,CC(C)[C@H]1CC[C@@H](C)C[C@H]1[NH2+]CC1CCS(=O)(=O)CC1,0.44080725
ZINC_V8_39775,C[C@]12CC3CC(C[NH2+]C4CCCC4)(C1)C[C@@](C)(C3)C2,0.44080722
ZINC_V8_22952,O=C([O-])c1ccccc1SSc1ccccc1C(=O)[O-],0.44080716
ZINC_V8_42085,CCOC(=O)[C@@](C)(O)C(CC)CC,0.44080713
ZINC_V8_36712,CCCCCC(=O)NNC(=O)C(=O)NC1CC1,0.44080707
ZINC_V8_7113,C=C(C)C[C@@H]([NH3+])COCCC,0.44080707
ZINC_V8_2086,C[C@@H](C(=O)[O-])[C@@H](N[S@](=O)C(C)(C)C)C(C)(C)C,0.44080707
ZINC_V8_2096,CC1(C)CCC(O)([C@]2(C#N)CCOC2)CC1,0.44080707
ZINC_V8_44574,C[C@H]1CCC[NH+](CCCCl)C1,0.440807
ZINC_V8_49657,CCC1(CC)CN(C2C(C)(C)C2(C)C)[C@@H](C)C[NH2+]1,0.44080684
ZINC_V8_23970,C[C@H](CC[NH2+][C@H](C)C1(C)CC1)[S@](C)=O,0.44080684
ZINC_V8_47071,OC1(C(F)(F)F)CC[NH+](CCCCC(F)(F)F)CC1,0.4408068
ZINC_V8_27874,C[C@@H]1SCCC[C@H]1[NH2+]CC1CC1,0.44080675
ZINC_V8_23273,CC1(C)CCC[C@@H]1[NH2+]CC1CC1,0.44080675
ZINC_V8_45164,C[C@H](C1CCCC1)[C@@H](C)Cl,0.44080672
ZINC_V8_45372,C[NH+](CCCCC(=O)[O-])CC(C)(C)O,0.4408066
ZINC_V8_44016,CC(C)[C@@H](C)C(=O)N[C@@](C)(C(=O)[O-])C(F)(F)F,0.44080648
ZINC_V8_22537,C[C@@H]1[C@@H](C)[NH+]([C@@H]2CCCC2(C)C)CC[C@@H]1[NH3+],0.44080642
ZINC_V8_14497,COC(C)(C)[C@@H](O)CCS(C)(=O)=O,0.44080642
ZINC_V8_46363,O[C@H]1C=C[C@@]23C=CC=C[C@@]12CCCC3,0.44080642
ZINC_V8_37620,C[C@@H](CC[NH2+]C(C1CC1)C1CC1)[S@@](C)=O,0.4408064
ZINC_V8_15027,Cc1cc(C)c(/N=C/c2ccc(O)cc2)c(C)c1,0.44080633
ZINC_V8_35564,O=C1C=C([O-])CC2(CCCCC2)C1,0.44080633
ZINC_V8_23698,C[C@H]1[C@@H](C(=O)[O-])CC[NH+]1CC(F)(F)F,0.44080633
ZINC_V8_10567,O=CC1=CCC[C@@H]([N+](=O)[O-])C1,0.44080633
ZINC_V8_28189,CCCOC[C@H]([NH2+]C)[C@H]1CC[C@H](CC)C1,0.44080633
ZINC_V8_34418,COC1CCC(C(C)(C)C)CC1,0.44080624
